Date,Tree,Species,Direction,Cover Class,Notes
9/28/2022,104,Privot,S,0,
9/28/2022,104,Spicebush,S,0,
9/28/2022,104,Rubus,S,1,
9/28/2022,104,Mapleleaf viburnum,S,0,
9/28/2022,342,Buckthorn,N,1,
9/28/2022,342,Multiflora rose,N,1,
9/28/2022,342,Honeysuckle,N,0,
9/28/2022,342,Privot,N,0,
9/28/2022,342,Spicebush,N,0,
9/28/2022,342,Rubus,N,2,
9/28/2022,342,Mapleleaf viburnum,N,0,
9/28/2022,342,Buckthorn,S,1,
9/28/2022,342,Multiflora rose,S,0,
9/28/2022,342,Honeysuckle,S,1,
9/28/2022,342,Privot,S,0,
9/28/2022,342,Spicebush,S,0,
9/28/2022,342,Rubus,S,1,
9/28/2022,342,Mapleleaf viburnum,S,0,
9/28/2022,356,Buckthorn,N,1,
9/28/2022,356,Multiflora rose,N,0,
9/28/2022,356,Honeysuckle,N,0,
9/28/2022,356,Privot,N,0,
9/28/2022,356,Spicebush,N,0,
9/28/2022,356,Rubus,N,0,
9/28/2022,356,Mapleleaf viburnum,N,1,
9/28/2022,356,Buckthorn,S,1,
9/28/2022,356,Multiflora rose,S,0,
9/28/2022,356,Honeysuckle,S,0,
9/28/2022,356,Privot,S,0,
9/28/2022,356,Spicebush,S,0,
9/28/2022,356,Rubus,S,0,
9/28/2022,356,Mapleleaf viburnum,S,0,
9/28/2022,366,Buckthorn,N,1,
9/28/2022,366,Multiflora rose,N,0,
9/28/2022,366,Honeysuckle,N,0,
9/28/2022,366,Privot,N,0,
9/28/2022,366,Spicebush,N,0,
9/28/2022,366,Rubus,N,0,
9/28/2022,366,Mapleleaf viburnum,N,0,
9/28/2022,366,Buckthorn,S,1,
9/28/2022,366,Multiflora rose,S,0,
9/28/2022,366,Honeysuckle,S,0,
9/28/2022,366,Privot,S,0,
9/28/2022,366,Spicebush,S,0,
9/28/2022,366,Rubus,S,0,
9/28/2022,366,Mapleleaf viburnum,S,0,
9/28/2022,261,Buckthorn,N,0,
9/28/2022,261,Multiflora rose,N,0,
9/28/2022,261,Honeysuckle,N,0,
9/28/2022,261,Privot,N,0,
9/28/2022,261,Spicebush,N,0,
9/28/2022,261,Rubus,N,1,
9/28/2022,261,Mapleleaf viburnum,N,1,
9/28/2022,261,Buckthorn,S,0,
9/28/2022,261,Multiflora rose,S,0,
9/28/2022,261,Honeysuckle,S,0,
9/28/2022,261,Privot,S,0,
9/28/2022,261,Spicebush,S,0,
9/28/2022,261,Rubus,S,0,
9/28/2022,261,Mapleleaf viburnum,S,1,
9/28/2022,347,Buckthorn,N,3,
9/28/2022,347,Multiflora rose,N,0,
9/28/2022,347,Honeysuckle,N,0,
9/28/2022,347,Privot,N,0,
9/28/2022,347,Spicebush,N,0,
9/28/2022,347,Rubus,N,0,
9/28/2022,347,Mapleleaf viburnum,N,0,
9/28/2022,347,Buckthorn,S,2,
9/28/2022,347,Multiflora rose,S,0,
9/28/2022,347,Honeysuckle,S,0,
9/28/2022,347,Privot,S,1,
9/28/2022,347,Spicebush,S,0,
9/28/2022,347,Rubus,S,0,
9/28/2022,347,Mapleleaf viburnum,S,0,
