Tree,Species,Plot_ID,Valid,VisualCover2020
857,red oak,IC+TSI-18-S,Yes,Yes
861,red oak,IC+TSI-18-S,Yes,Yes
178,sugar maple,IC+TSI-19-M,Yes,Yes
278,sugar maple,IC+TSI-19-M,Yes,Yes
301,red maple,IC+TSI-19-M,Yes,Yes
302,sugar maple,IC+TSI-19-M,Yes,Yes
303,tulip poplar,IC+TSI-19-M,Yes,Yes
318,elm,IC+TSI-19-M,Yes,Yes
330,sugar maple,IC+TSI-19-M,Yes,Yes
332,red maple,IC+TSI-19-M,Yes,Yes
336,sugar maple,IC+TSI-19-M,Yes,Yes
339,red maple,IC+TSI-19-M,Yes,Yes
341,sugar maple,IC+TSI-19-M,Yes,Yes
342,elm,IC+TSI-19-M,Yes,Yes
377,red maple,IC+TSI-19-M,Yes,Yes
379,red maple,IC+TSI-19-M,Yes,Yes
382,red maple,IC+TSI-19-M,Yes,Yes
383,tulip poplar,IC+TSI-19-M,Yes,Yes
931,red maple,IC+TSI-19-M,Yes,Yes
936,tulip poplar,IC+TSI-19-M,Yes,Yes
981,red maple,IC+TSI-19-M,Yes,Yes
189,tulip poplar,IC+TSI-19-N,Yes,Yes
199,red maple,IC+TSI-19-N,Yes,Yes
254,tulip poplar,IC+TSI-19-N,Yes,No
255,red maple,IC+TSI-19-N,Yes,Yes
258,sugar maple,IC+TSI-19-N,Yes,Yes
355,red maple,IC+TSI-19-N,Yes,Yes
356,red maple,IC+TSI-19-N,Yes,Yes
357,sugar maple,IC+TSI-19-N,Yes,Yes
359,sugar maple,IC+TSI-19-N,Yes,Yes
362,red maple,IC+TSI-19-N,Yes,Yes
363,sugar maple,IC+TSI-19-N,Yes,Yes
372,red maple,IC+TSI-19-N,Yes,Yes
373,tulip poplar,IC+TSI-19-N,Yes,Yes
375,red maple,IC+TSI-19-N,Yes,Yes
398,red maple,IC+TSI-19-N,Yes,Yes
3,red maple,IC+TSI-19-S,Yes,Yes
4,red maple,IC+TSI-19-S,Yes,Yes
8,sugar maple,IC+TSI-19-S,Yes,Yes
9,sugar maple,IC+TSI-19-S,Yes,Yes
13,tulip poplar,IC+TSI-19-S,Yes,Yes
14,red maple,IC+TSI-19-S,Yes,Yes
15,sugar maple,IC+TSI-19-S,Yes,Yes
16,tulip poplar,IC+TSI-19-S,Yes,Yes
18,red maple,IC+TSI-19-S,Yes,Yes
19,red maple,IC+TSI-19-S,Yes,Yes
20,tulip poplar,IC+TSI-19-S,Yes,Yes
21,red maple,IC+TSI-19-S,Yes,Yes
126,sugar maple,IC+TSI-19-S,Yes,Yes
127,sugar maple,IC+TSI-19-S,Yes,Yes
128,tulip poplar,IC+TSI-19-S,Yes,Yes
129,sugar maple,IC+TSI-19-S,Yes,Yes
130,red maple,IC+TSI-19-S,Yes,Yes
131,tulip poplar,IC+TSI-19-S,Yes,Yes
132,red maple,IC+TSI-19-S,Yes,Yes
138,tulip poplar,IC+TSI-19-S,Yes,Yes
158,sugar maple,IC+TSI-19-S,Yes,Yes
159,elm,IC+TSI-19-S,Yes,Yes
160,red maple,IC+TSI-19-S,Yes,Yes
161,sugar maple,IC+TSI-19-S,Yes,Yes
163,elm,IC+TSI-19-S,Yes,Yes
164,sugar maple,IC+TSI-19-S,Yes,Yes
167,red maple,IC+TSI-19-S,Yes,Yes
173,tulip poplar,IC+TSI-19-S,Yes,Yes
174,tulip poplar,IC+TSI-19-S,Yes,Yes
176,tulip poplar,IC+TSI-19-S,Yes,Yes
209,sugar maple,IC+TSI-19-S,Yes,Yes
213,elm,IC+TSI-19-S,Yes,Yes
73,tulip poplar,IC-18-M,Yes,Yes
76,sugar maple,IC-18-M,Yes,Yes
79,sugar maple,IC-18-M,Yes,Yes
80,sugar maple,IC-18-M,Yes,Yes
81,sugar maple,IC-18-M,Yes,Yes
82,sugar maple,IC-18-M,Yes,Yes
83,sugar maple,IC-18-M,Yes,Yes
84,sugar maple,IC-18-M,Yes,Yes
86,sugar maple,IC-18-M,Yes,Yes
87,sugar maple,IC-18-M,Yes,Yes
88,tulip poplar,IC-18-M,Yes,Yes
92,red maple,IC-18-M,Yes,Yes
93,tulip poplar,IC-18-M,Yes,Yes
94,red maple,IC-18-M,Yes,Yes
95,tulip poplar,IC-18-M,Yes,Yes
96,tulip poplar,IC-18-M,Yes,Yes
97,tulip poplar,IC-18-M,Yes,Yes
98,red maple,IC-18-M,Yes,Yes
99,tulip poplar,IC-18-M,Yes,Yes
101,red maple,IC-18-M,Yes,Yes
110,red maple,IC-18-M,Yes,Yes
113,red maple,IC-18-M,Yes,Yes
116,sugar maple,IC-18-M,Yes,Yes
122,sugar maple,IC-18-M,Yes,Yes
123,sugar maple,IC-18-M,Yes,Yes
124,sugar maple,IC-18-M,Yes,Yes
227,sugar maple,IC-18-M,Yes,Yes
228,sugar maple,IC-18-M,Yes,Yes
230,sugar maple,IC-18-M,Yes,Yes
235,sugar maple,IC-18-M,Yes,Yes
241,red maple,IC-18-M,Yes,Yes
243,sugar maple,IC-18-M,Yes,Yes
244,elm,IC-18-M,Yes,Yes
245,sugar maple,IC-18-M,Yes,Yes
295,tulip poplar,IC-18-M,Yes,Yes
859,red oak,IC-18-M,Yes,Yes
881,tulip poplar,IC-18-M,Yes,Yes
884,tulip poplar,IC-18-M,Yes,Yes
888,sugar maple,IC-18-M,Yes,Yes
900,tulip poplar,IC-18-M,Yes,Yes
197,sugar maple,IC-18-N,Yes,Yes
198,tulip poplar,IC-18-N,Yes,Yes
257,tulip poplar,IC-18-N,Yes,Yes
259,red maple,IC-18-N,Yes,Yes
290,red oak,IC-18-N,Yes,Yes
292,red oak,IC-18-N,Yes,Yes
297,red maple,IC-18-N,Yes,Yes
299,red maple,IC-18-N,Yes,Yes
300,tulip poplar,IC-18-N,Yes,Yes
346,sugar maple,IC-18-N,Yes,Yes
350,elm,IC-18-N,Yes,Yes
354,sugar maple,IC-18-N,Yes,Yes
358,sugar maple,IC-18-N,Yes,Yes
360,sugar maple,IC-18-N,Yes,Yes
376,red maple,IC-18-N,Yes,Yes
864,tulip poplar,IC-18-N,Yes,Yes
883,red maple,IC-18-N,Yes,Yes
885,sugar maple,IC-18-N,Yes,Yes
898,red maple,IC-18-N,Yes,Yes
22,tulip poplar,IC-18-S,Yes,Yes
24,red maple,IC-18-S,Yes,Yes
25,red maple,IC-18-S,Yes,Yes
26,red maple,IC-18-S,Yes,Yes
27,tulip poplar,IC-18-S,Yes,Yes
28,tulip poplar,IC-18-S,Yes,Yes
29,tulip poplar,IC-18-S,Yes,Yes
30,red maple,IC-18-S,Yes,Yes
31,red maple,IC-18-S,Yes,Yes
32,tulip poplar,IC-18-S,Yes,Yes
33,sugar maple,IC-18-S,Yes,Yes
34,tulip poplar,IC-18-S,Yes,Yes
35,sugar maple,IC-18-S,Yes,Yes
36,sugar maple,IC-18-S,Yes,Yes
37,sugar maple,IC-18-S,Yes,Yes
38,sugar maple,IC-18-S,Yes,Yes
39,sugar maple,IC-18-S,Yes,Yes
41,red maple,IC-18-S,Yes,Yes
42,red maple,IC-18-S,Yes,Yes
43,sugar maple,IC-18-S,Yes,Yes
45,tulip poplar,IC-18-S,Yes,Yes
47,tulip poplar,IC-18-S,Yes,Yes
48,red maple,IC-18-S,Yes,Yes
49,tulip poplar,IC-18-S,Yes,Yes
50,tulip poplar,IC-18-S,Yes,Yes
51,sugar maple,IC-18-S,Yes,Yes
53,sugar maple,IC-18-S,Yes,Yes
56,tulip poplar,IC-18-S,Yes,Yes
57,sugar maple,IC-18-S,Yes,Yes
58,sugar maple,IC-18-S,Yes,Yes
59,red maple,IC-18-S,Yes,Yes
60,red maple,IC-18-S,Yes,Yes
61,red maple,IC-18-S,Yes,Yes
64,tulip poplar,IC-18-S,Yes,Yes
65,tulip poplar,IC-18-S,Yes,Yes
66,red maple,IC-18-S,Yes,Yes
67,red maple,IC-18-S,Yes,Yes
68,red maple,IC-18-S,Yes,Yes
69,tulip poplar,IC-18-S,Yes,Yes
70,sugar maple,IC-18-S,Yes,Yes
71,sugar maple,IC-18-S,Yes,Yes
72,red maple,IC-18-S,Yes,Yes
74,red maple,IC-18-S,Yes,Yes
75,red maple,IC-18-S,Yes,Yes
77,red maple,IC-18-S,Yes,Yes
151,tulip poplar,IC-18-S,Yes,Yes
207,sugar maple,IC-18-S,Yes,Yes
860,red maple,IC-18-S,Yes,Yes
874,red oak,IC-18-S,Yes,Yes
880,red maple,IC-18-S,Yes,Yes
895,tulip poplar,IC-18-S,Yes,Yes
901,elm,IC-18-S,Yes,Yes
902,sugar maple,IC-18-S,Yes,Yes
903,sugar maple,IC-18-S,Yes,Yes
904,elm,IC-18-S,Yes,Yes
905,sugar maple,IC-18-S,Yes,Yes
906,sugar maple,IC-18-S,Yes,Yes
907,elm,IC-18-S,Yes,Yes
908,sugar maple,IC-18-S,Yes,Yes
909,elm,IC-18-S,Yes,Yes
910,elm,IC-18-S,Yes,Yes
911,elm,IC-18-S,Yes,Yes
90,tulip poplar,IC-19-M,Yes,Yes
91,tulip poplar,IC-19-M,Yes,Yes
100,sugar maple,IC-19-M,Yes,Yes
102,red maple,IC-19-M,Yes,Yes
103,sugar maple,IC-19-M,Yes,Yes
104,red maple,IC-19-M,Yes,Yes
105,red maple,IC-19-M,Yes,Yes
106,tulip poplar,IC-19-M,Yes,Yes
107,red maple,IC-19-M,Yes,Yes
108,tulip poplar,IC-19-M,Yes,Yes
109,red maple,IC-19-M,Yes,Yes
111,red maple,IC-19-M,Yes,Yes
112,red maple,IC-19-M,Yes,Yes
114,red maple,IC-19-M,Yes,Yes
115,sugar maple,IC-19-M,Yes,Yes
117,red maple,IC-19-M,Yes,Yes
118,red maple,IC-19-M,Yes,Yes
119,sugar maple,IC-19-M,Yes,Yes
120,sugar maple,IC-19-M,Yes,Yes
125,tulip poplar,IC-19-M,Yes,Yes
133,tulip poplar,IC-19-M,Yes,Yes
135,red maple,IC-19-M,Yes,Yes
143,tulip poplar,IC-19-M,Yes,Yes
165,tulip poplar,IC-19-M,Yes,Yes
229,sugar maple,IC-19-M,Yes,Yes
231,red maple,IC-19-M,Yes,Yes
232,sugar maple,IC-19-M,Yes,Yes
233,sugar maple,IC-19-M,Yes,Yes
234,red maple,IC-19-M,Yes,Yes
236,sugar maple,IC-19-M,Yes,Yes
237,elm,IC-19-M,Yes,Yes
238,elm,IC-19-M,Yes,Yes
239,red maple,IC-19-M,Yes,Yes
240,elm,IC-19-M,Yes,Yes
242,elm,IC-19-M,Yes,Yes
246,sugar maple,IC-19-M,Yes,Yes
247,sugar maple,IC-19-M,Yes,Yes
249,elm,IC-19-M,Yes,Yes
252,tulip poplar,IC-19-N,Yes,Yes
253,red maple,IC-19-N,Yes,Yes
272,sugar maple,IC-19-N,Yes,Yes
293,sugar maple,IC-19-N,Yes,Yes
347,sugar maple,IC-19-N,Yes,Yes
348,sugar maple,IC-19-N,Yes,Yes
351,red maple,IC-19-N,Yes,Yes
352,red maple,IC-19-N,Yes,Yes
353,red maple,IC-19-N,Yes,Yes
361,red maple,IC-19-N,Yes,Yes
371,red maple,IC-19-N,Yes,Yes
399,tulip poplar,IC-19-N,Yes,Yes
892,red maple,IC-19-N,Yes,Yes
893,red maple,IC-19-N,Yes,Yes
894,tulip poplar,IC-19-N,Yes,Yes
40,tulip poplar,IC-19-S,Yes,Yes
44,sugar maple,IC-19-S,Yes,Yes
46,sugar maple,IC-19-S,Yes,Yes
52,sugar maple,IC-19-S,Yes,Yes
54,tulip poplar,IC-19-S,Yes,Yes
55,red maple,IC-19-S,Yes,Yes
63,tulip poplar,IC-19-S,Yes,Yes
145,sugar maple,IC-19-S,Yes,Yes
146,sugar maple,IC-19-S,Yes,Yes
147,red maple,IC-19-S,Yes,Yes
148,tulip poplar,IC-19-S,Yes,Yes
149,red maple,IC-19-S,Yes,Yes
150,sugar maple,IC-19-S,Yes,Yes
152,red maple,IC-19-S,Yes,Yes
153,tulip poplar,IC-19-S,Yes,Yes
203,elm,IC-19-S,Yes,Yes
204,elm,IC-19-S,Yes,Yes
205,elm,IC-19-S,Yes,Yes
206,elm,IC-19-S,Yes,Yes
208,sugar maple,IC-19-S,Yes,Yes
210,elm,IC-19-S,Yes,Yes
211,sugar maple,IC-19-S,Yes,Yes
248,sugar maple,IC-19-S,Yes,Yes
250,sugar maple,IC-19-S,Yes,Yes
912,red oak,IC-19-S,Yes,Yes
913,sugar maple,IC-19-S,Yes,Yes
914,elm,IC-19-S,Yes,Yes
915,elm,IC-19-S,Yes,Yes
925,elm,IC-19-S,Yes,Yes
926,sugar maple,IC-19-S,Yes,Yes
927,sugar maple,IC-19-S,Yes,Yes
930,tulip poplar,IC-19-S,Yes,Yes
no tag,NA,NA,Yes,No
Unknown,NA,NA,Yes,No
WPT 18,NA,NA,Yes,No
WPT 27,NA,NA,Yes,No
WPT 3,NA,NA,Yes,No
261,sugar maple,IC+TSI-18-N,No,No
374,tulip poplar,IC+TSI-18-N,No,No
223,elm,IC+TSI-18-S,No,No
334,red maple,IC+TSI-19-M,No,No
288,tulip poplar,IC+TSI-19-N,No,Yes
162,sugar maple,IC+TSI-19-S,No,Yes
85,sugar maple,IC-18-M,No,No
89,tulip poplar,IC-18-M,No,Yes
121,sugar maple,IC-18-M,No,Yes
62,sugar maple,IC-18-S,No,Yes
400,red maple,IC-19-N,No,Yes
214,red maple,IC-19-S,No,No
142,sugar maple,,No,No
267,tulip poplar,,No,No
268,sugar maple,,No,No
271,sugar maple,,No,No
