FID,Column,Row,Cell,Easting,Northing,Nat_Area,Purpose,Completed,DATE,ASSESSOR,NW_HERB,NE_HERB,SE_HERB,SW_HERB,HERB_TOTAL,HERB_POINT,NW_SEEDL,NE_SEEDL,SW_SEEDL,SE_SEEDL,SEEDL_TOTA,SEEDL_POIN,NW_SS_IND,NE_SS_IND,SE_SS_IND,SW_SS_IND,SS_IND_TOT,SS_IND_POI,NW_SS_SPC,NE_SS_SPC,SW_SS_SPC,SE_SS_SPC,SS_SPC_TOT,SS_SPC_POI,NW_M_TREE_,NE_M_TREE_,SW_M_TREE_,SE_M_TREE_,M_TREE_IND,M_TREE_I_1,M_TREE_SPC,M_TREE_S_1,M_TREE_S_2,NW_L_TREE_,NE_L_TREE_,SE_L_TREE_,SW_L_TREE_,L_TREE_IND,L_TREE_I_1,L_TREE_SPC,L_TREE_S_1,L_TREE_S_2,NW_SNAGS,NE_SNAGS,SE_SNAGS,SW_SNAGS,SNAGS_TOTA,SNAGS_POIN,NW_W_DEBRI,NE_W_DEBRI,SE_W_DEBRI,SW_W_DEBRI,W_DEBRIS_T,W_DEBRIS_P,NW_INV_SV,NE_INV_SV,SE_INV_SV,SW_INV_SV,INV_SV_TOT,INV_SV_POI,NW_INV_HER,NE_INV_HER,SE_INV_HER,SW_INV_HER,INV_HERB_T,INV_HERB_P,OBS_INV_PL,H_LIGHT_GA,PIT_MOUND,ABS_HUMAN_,ABS_DEER_B,NW_LEAF_FR,NE_LEAF_FR,C_LEAF_FRG,SW_LEAF_FR,SE_LEAF_FR,LEAF_FRG_T,LEAF_FRG_P,TOTAL,QUALITY_RA,AMBE,BLD,BLD_SEVER,AMBE_ABUN,ASH,EAB,EAB_SEVER,ASH_ABUN,EAHE,HWA,HWA_SEVER,EAHE_ABUN,F_HEALTH,F_AGE,F_CONDITIO,PRE_TREAT,LABEL,MANAG_OBJ,R_PRE_TREA,BOUND_MARK
13,26-E,44-N,26-E44-N,2297390.52,717095.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-24,CK AM SB EC,7,8,5,5,25,1,8,7,5,3,23,1,19,72,22,27,140,1,4,6,5,6,21,1,7,7,8,3,25,1,YEBI WHOA TUPO SUMA REOA COTT AMBE,7,1,0,0,2,0,2,0, ,0,0,0,2,1,0,3,0,2,1,1,1,5,0,56,50,1,35,142,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,2,0,10,Medium,1,1,Low,Low,1,1,Severe,Low,1,0,None,Low,7,3,Young and Healthy,TSI,TSI,-Invasive S/V,Improvement Cut,
14,27-E,44-N,27-E44-N,2297718.52,717095.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-24,EC AM SB CK,4,7,10,5,26,1,6,8,6,8,28,1,38,26,30,36,130,1,5,3,5,5,18,1,1,8,5,6,20,0,WHOA REOA TUPO BLCH SUMA AMBE,6,1,0,1,0,0,1,0,TUPO,1,0,0,3,2,0,5,1,2,1,3,0,6,0,15,38,36,0,89,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,9,Medium Low,1,1,Low,Medium,1,1,Severe,Low,1,0,None,Low,7,2,Young and Healthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Improvement Cut,
15,28-E,44-N,28-E44-N,2298046.52,717095.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-24,EC AM SB CK,7,9,12,8,36,1,8,6,5,8,27,1,45,32,30,54,161,1,3,3,6,6,18,1,3,6,4,7,20,0,WHOA BLCH SUMA TUPO REOA AMBE,6,1,1,1,0,0,2,0,TUPO SYCA,2,1,0,3,2,2,7,1,0,1,3,1,5,0,70,25,40,0,135,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,10,Medium,1,1,Moderate,Medium,1,1,Severe,Low,1,0,None,Low,7,3,Young and Healthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Improvement Cut,
16,29-E,44-N,29-E44-N,2298374.52,717095.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-23,CK SB AM ALL,5,5,8,6,24,1,6,6,7,6,25,1,54,23,43,47,167,1,3,4,5,5,17,1,8,6,7,3,24,1,BIAS REMA SASS REOA TUPO SUMA BLCH BIHI AMBE,9,1,0,0,0,0,0,0, ,0,0,2,1,2,3,8,1,0,1,1,2,4,0,0,30,15,2,47,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,3,0,13,Medium,1,1,Low,High,1,1,Severe,Low,0,0,None,None,9,4,Old and Healthy,"TSI, +Woody Debris",Structural Improvement,"-Invasive S/V, +Woody Debris",Improvement Cut w/TSI,Yes
17,30-E,44-N,30-E44-N,2298702.52,717095.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-31,CK CK SB SB,5,4,9,9,27,1,7,6,7,5,25,1,41,17,35,33,126,1,4,5,7,5,21,1,8,6,2,4,20,0,BIAS SUMA REOA TUPO AMBE,5,1,0,0,0,0,0,0, ,0,0,2,3,3,5,13,0,1,1,1,2,5,0,7,17,0,102,126,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,3,0,10,Medium,1,1,Moderate,High,1,1,Moderate,Low,0,0,None,None,8,2,Young and Healthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Improvement Cut w/TSI,Yes
18,25-E,45-N,25-E45-N,2297062.52,717423.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-26,CK AM SB ALL,4,8,10,6,28,1,6,3,5,4,18,1,4,10,8,17,39,0,3,2,2,5,12,0,8,7,4,5,24,1,TUPO SYCA SUMA BLCH BIHI AMBE,6,1,0,0,1,0,1,0,SYCA,1,0,3,4,2,0,9,1,1,3,1,0,5,0,156,50,12,50,268,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,8,Medium Low,1,1,Severe,Low,1,1,Severe,Low,1,0,None,Low,5,3,Young and Unhealthy,"TSI, +Woody Debris",TSI,"-Invasive S/V, +Woody Debris",TSI,Yes
19,26-E,45-N,26-E45-N,2297390.52,717423.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-18,EC SB AM ALL,6,10,5,8,29,1,3,6,5,3,17,1,18,24,27,17,86,0,4,6,4,4,18,1,4,5,7,9,25,1,REOA BASS TUPO SUMA AMBE,5,1,1,0,0,0,1,0,REOA,1,0,2,3,1,3,9,1,1,1,2,4,8,0,28,40,35,17,120,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,8,Medium Low,1,1,Moderate,Medium,1,1,Severe,Low,1,0,None,Low,6,3,Young and Healthy,TSI,TSI,-Invsaive S/V,TSI,Yes
20,27-E,45-N,27-E45-N,2297718.52,717423.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-18,EC SB AM ALL,4,4,10,7,25,1,6,7,6,4,23,1,35,17,16,20,88,0,6,4,3,5,18,1,7,9,10,7,33,1,WHOA BIHI BLCH TUPO SUMA REOA AMBE,7,1,4,1,0,0,5,0,REOA,1,0,1,2,3,0,6,1,1,4,2,2,9,0,2,0,9,4,15,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,3,0,11,Medium,1,1,Moderate,Medium,0,0,None,None,0,0,None,None,7,4,Old and Healthy,"+Ind Shrub, TSI, +Woody Debris",TSI,"+Ind Shrub, -Invasive S/V, +Woody Debris",Improvement Cut w/TSI,Yes
21,28-E,45-N,28-E45-N,2298046.52,717423.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-24,CK AM SB EC,6,6,6,7,25,1,7,6,6,5,24,1,34,15,30,25,104,0,5,3,4,4,16,1,10,12,8,4,34,1,SHHI SUMA WHOA BIHI TUPO REOA AMBE,7,1,3,1,0,1,5,0,REOA WHOA AMBE,3,1,2,8,2,0,12,1,1,4,4,1,10,0,23,32,1,25,81,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,12,Medium,1,1,Moderate,Medium,1,1,Severe,Low,0,0,None,None,7,5,Old and Healthy,"+Ind Shrub, TSI, -Snags, +Woody Debris",TSI,"+Ind Shrub, -Invasive S/V, -Snags, +Woody Debris",Improvement Cut w/TSI,Yes
22,29-E,45-N,29-E45-N,2298374.52,717423.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-24,CK AM SB EC,8,6,5,9,28,1,8,5,8,8,29,1,36,21,33,43,133,1,4,2,3,5,14,0,7,6,7,3,23,0,REMA BIHI AMBE SYCA BLCH REOA TUPO SUMA,8,1,0,0,0,0,0,0, ,0,0,1,0,1,0,2,0,2,1,0,0,3,0,23,58,1,15,97,0,2,0,0,0,2,1,0,1,0,1,1,1,0,1,0,0,2,0,8,Medium Low,1,1,Moderate,Medium,0,0,None,None,0,0,None,None,7,1,Young and Healthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Improvement Cut w/TSI,Yes
23,30-E,45-N,30-E45-N,2298702.52,717423.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-24,CK AM SB EC,5,7,3,5,20,1,7,4,8,4,23,1,54,8,19,36,117,0,4,2,3,4,13,0,7,5,7,4,23,0,SYCA TUPO SUMA AMBE,4,1,0,1,1,0,2,0,TUPO SUMA,2,1,1,1,0,1,3,0,0,2,0,0,2,0,0,0,5,3,8,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,5,1,8,Medium Low,1,1,Moderate,High,0,0,None,None,0,0,None,None,6,2,Young and Healthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Improvement Cut w/TSI,Yes
24,31-E,45-N,31-E45-N,2299030.52,717423.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-30,CK CK SB SB,4,3,7,6,20,1,4,8,7,7,26,1,5,0,25,36,66,0,2,0,4,5,11,0,3,7,3,4,17,0,REOA SUMA TUPO REMA PIHI AMBE,6,1,0,0,0,0,0,0, ,0,0,0,2,1,0,3,0,1,0,1,1,3,0,5,0,50,0,55,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,5,1,9,Medium Low,1,1,Moderate,High,1,1,Severe,Low,0,0,None,None,7,2,Young and Healthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Improvement Cut,Yes
25,18-E,46-N,18-E46-N,2294766.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-25,SB SB AM AM,8,9,9,8,34,1,3,3,7,6,19,1,13,4,1,1,19,0,1,1,1,1,4,0,7,3,7,12,29,1,BLCH AMBE REOA TUPO SUMA,5,1,2,0,2,2,6,0,REOA,1,0,0,0,0,1,1,0,3,0,0,1,4,0,0,4,14,1,19,1,0,6,0,1,7,1,0,0,1,0,1,1,0,0,0,0,1,0,8,Medium Low,1,1,Moderate,Low,0,0,None,None,1,0,None,Low,5,3,Young and Unhealthy,"TSI, +Snags",TSI,-Invasive S/V. +Snags,Control, 
26,21-E,46-N,21-E46-N,2295750.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-25,AM AM SB SB,14,11,12,10,47,1,7,5,4,5,21,1,17,19,17,22,75,0,8,5,5,7,25,1,1,7,3,4,15,0,TUPO SUMA SHHI AMBE,4,1,0,1,2,2,5,0,TUPO AMBE,2,1,0,2,0,0,2,0,2,2,0,0,4,0,9,21,24,0,54,1,0,0,4,0,4,1,0,0,0,0,1,0,0,0,1,0,1,0,8,Medium Low,1,1,Moderate,Medium,0,0,None,None,1,0,None,Medium,6,2,Young and Healthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Control,
27,22-E,46-N,22-E46-N,2296078.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-21,MW MW SB SB,10,6,8,10,34,1,5,4,3,4,16,1,21,2,7,25,55,0,3,2,2,5,12,0,10,11,9,8,38,1,EAHE SUMA AMBE,3,1,4,4,0,2,10,1,AMBE SUMA,2,1,1,2,1,3,7,1,4,3,1,2,10,0,0,1,0,8,9,1,2,0,0,0,2,1,0,1,1,1,1,0,1,1,1,1,4,1,14,Medium High,1,1,Moderate,High,0,0,None,None,1,0,None,Low,8,6,Old and Healthy,+Woody Debris,Structural Improvement,+Woody Debris,Control,
28,23-E,46-N,23-E46-N,2296406.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-21,MW MW SB SB,6,9,10,10,35,1,4,7,5,5,21,1,5,12,12,9,38,0,2,4,4,1,11,0,10,8,8,6,32,1,EAHE TUPO SUMA BIHI BLCH AMBE,6,1,2,0,0,2,4,0,TUPO SUMA BLCH AMBE,4,1,3,4,1,3,11,1,2,1,1,1,5,0,3,130,25,1,159,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,Medium Low,1,1,Low,Medium,1,1,Severe,Low,1,0,None,Medium,4,4,Old and Unhealthy,"TSI, +Shrub Sp., +Woody Debris",TSI,"-Invasive S/V, +Shrub Sp., +Woody Debris",Control,
29,24-E,46-N,24-E46-N,2296734.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-21,MW MW SB SB,4,6,7,10,27,1,4,3,4,5,16,1,10,9,7,15,41,0,5,3,3,3,14,0,6,4,5,4,19,0,BLCH SUMA TUPO,3,1,0,0,0,1,1,0,TUPO,1,0,2,0,1,1,4,0,1,0,0,3,4,0,97,88,90,70,345,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,6,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,5,1,Young and Unhealthy,Improvement Cut w/TSI,Improvement Cut w/TSI,"+Mature Trees, -Invasive S/V",Control,
30,25-E,46-N,25-E46-N,2297062.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-26,CK AM SB ALL,4,3,9,5,21,1,2,5,4,2,13,0,7,19,15,15,56,0,2,3,2,3,10,0,5,4,0,2,11,0,REOA BLWA BIHI TUPO BLCH,5,1,0,0,0,0,0,0, ,0,0,1,3,0,1,5,1,1,2,0,1,4,0,121,37,110,215,483,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,4,2,Young and Unhealthy,Investigate,Investigate,Determine best action,TSI,Yes
31,26-E,46-N,26-E46-N,2297390.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-26,CK AM SB ALL,3,3,6,4,16,0,3,5,4,2,14,0,9,15,22,21,67,0,2,2,4,3,11,0,2,1,1,1,5,0,TUPO REMA COTT,3,1,0,0,0,0,0,0, ,0,0,0,2,0,0,2,0,0,0,2,1,3,0,112,192,150,195,649,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,Low,1,1,Moderate,Low,1,1,Severe,Medium,0,0,None,None,3,1,Young and Unhealthy,Investigate,Investigate,Determine best action,TSI,Yes
32,27-E,46-N,27-E46-N,2297718.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-06-26,CK AM SB ALL,4,3,6,6,19,0,6,6,3,5,20,1,32,52,31,44,159,1,4,5,5,6,20,1,6,7,4,8,25,1,WHOA SYCA REMA REOA TUPO,5,1,1,0,0,2,3,0,REOA SYCA,2,1,2,1,2,0,5,1,2,0,1,1,4,0,67,33,32,90,222,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,9,Medium Low,1,1,Moderate,Medium,1,1,Severe,Low,0,0,None,None,5,4,Old and Unhealthy,TSI,TSI,-Invasive S/V,Improvement Cut w/TSI,Yes
33,28-E,46-N,28-E46-N,2298046.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-12,MW SB AM ALL,5,6,6,5,22,1,6,5,6,5,22,1,28,26,15,31,100,0,6,5,3,2,16,1,7,7,7,9,30,1,SYCA AMEL REMA SUMA TUPE TUPO REOA,7,1,0,0,0,0,0,0, ,0,0,2,1,4,2,9,1,3,3,2,3,11,0,67,55,58,39,219,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,9,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,5,4,Old and Unhealthy,"+Ind Shrub, +Woody Debris",Structural Improvement,"+Ind Shrub, +Woody Debris",Improvement Cut w/TSI,Yes
34,29-E,46-N,29-E46-N,2298374.52,717751.8072,Baldwin Natural Area,Holden/WCS,1,2018-07-12,MW SB AM ALL,8,6,5,6,25,1,5,5,4,6,20,1,13,34,22,42,111,0,4,4,2,5,15,0,5,4,8,9,26,1,SYCA SHHI WHOA TUPO REOA REMA,6,1,0,0,0,2,2,0,REOA,1,0,1,3,1,2,7,1,0,0,0,2,2,0,38,33,0,31,102,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,8,Medium Low,1,1,Moderate,Low,1,1,Severe,Low,0,0,None,None,5,3,Young and Unhealthy,TSI,TSI,-Invasive S/V,TSI,Yes
