Sapling_Tag_ID,Date,Season,Year,Canopy Cover,Percent_Class,Categories,Dominant_Category,Max_Category,Blight_Score,Branch1_twig,Branch1_leaf,Branch2_twig,Branch2_leaf,Branch3_twig,Branch3_leaf,TOTAL_Twig,TOTAL_Leaf,TOTAL_Leaf_per_Twig,Browse,Vertical,Other_Pattern,Alive,Comments
SC1-15,8-Oct-15,F,2015,,0,0,0,0,0,3,2,7,9,4,3,14,14,1,N,na,na,Y,Very minimal insect damage
SC1-16,8-Oct-15,F,2015,,0,0,0,0,0,4,0,6,12,3,2,13,14,1.07,N,na,na,Y,Minimal insect damage
SC1-17,8-Oct-15,F,2015,,0,0,0,0,0,9,81,3,0,9,29,21,110,5.23,N,na,na,Y,Very minimal insect damage
SC1-18,8-Oct-15,F,2015,,0,0,0,0,0,9,0,6,18,6,0,21,18,0.85,Y,na,na,Y,Very minimal browse and very minimal insect damage
SC1-19,8-Oct-15,F,2015,,0,0,0,0,0,3,7,14,116,7,56,24,179,7.45,N,na,na,Y,"Very minimal insect damage, some white stippling"
SC1-20,8-Oct-15,F,2015,,0,0,0,0,0,7,45,9,26,7,23,23,94,4.08,N,na,na,Y,"Very minimal insect damage, some white stippling"
PB1-01,3-Jun-16,S,2016,,4,"1,2,3,4",3,4,96,3,9,6,25,5,11,14,45,3.21,N,N,N,Y,A few failed buds
PB1-02,3-Jun-16,S,2016,,4,"3,4",3,4,96,4,0,3,0,6,0,13,0,0,N,N,N,Y,many dead banches and failed buds; some late-emerging leaves
PB1-03,3-Jun-16,S,2016,,3,"1,2,3,4",3,4,76,5,2,6,12,3,1,14,15,1.07,N,N,Y,Y,leader almost leafless; clustered symptoms
PB1-04,3-Jun-16,S,2016,,3,"1,2,3,4",3,4,76,6,23,5,5,9,52,20,80,4,N,N,Y,Y,few dead twigs; some insect damage; clusters of healthy leaves
PB1-05,3-Jun-16,S,2016,,4,"1,2,3,4",4,4,100,4,0,4,2,5,13,13,15,1.15,Y,N,Y,Y,"many extremely curled, dark brown leaves; much tip die-back; bud failure; few clusters of clean leaves"
PB1-06,3-Jun-16,S,2016,,2,"1,2,3,4",3,4,56,7,11,9,27,3,6,19,44,2.31,N,N,Y,Y,some insect damage; white stippling; clustered symptoms
PB1-07,3-Jun-16,S,2016,,3,"1,2,3,4",3,4,76,3,2,5,16,3,7,11,25,2.27,Y,N,Y,Y,insect damage; some brown/curling; clustered clean leaves
PB1-08,3-Jun-16,S,2016,,1,"1,2,3",3,3,35,8,20,4,9,10,63,22,92,4.18,Y,N,Y,Y,minor insect damage; some white stipple; clustered symptoms
PB1-09,3-Jun-16,S,2016,,1,"1,2,3",2,3,31,3,15,5,24,3,11,11,50,4.54,N,N,Y,Y,clustered symptoms
PB1-10,3-Jun-16,S,2016,,1,1,1,1,25,5,14,5,12,7,42,17,68,4,Y,N,Y,Y,clustered symptoms
PB1-11,3-Jun-16,S,2016,,2,"1,2,3,4",2,4,52,5,9,7,17,7,30,19,56,2.94,Y,N,Y,Y,some insect damage and stippling; clustered symptoms
PB1-12,3-Jun-16,S,2016,,3,"1,2,3,4",3,4,76,3,10,8,38,6,30,17,78,4.58,N,N,Y,Y,some dead twigs and buds; some stippling; many small wilting curled leaves; clustered symptoms
PB1-13,3-Jun-16,S,2016,,3,"1,2,3,4",3,4,76,7,46,5,25,9,36,21,107,5.09,Y,N,Y,Y,many dead buds; some stippling; clustered symptoms
PB1-14,3-Jun-16,S,2016,,3,"1,2,3,4",3,4,76,8,30,3,11,7,32,18,73,4.05,Y,N,Y,Y,some stippling; clustered symptoms
PB1-15,3-Jun-16,S,2016,,2,"1,2,3,4",2,4,52,11,71,7,20,4,9,22,100,4.54,Y,N,Y,Y,some insect damage; few dead twigs and buds; clustered symptoms
PB1-16,3-Jun-16,S,2016,,3,"1,2,3,4",3,4,76,6,8,10,40,9,5,25,53,2.12,N,N,Y,Y,insect damage; many small dead twigs and buds; clustered symptoms
PB1-17,3-Jun-16,S,2016,,3,"1,2,3,4",2,4,72,10,64,7,24,4,7,21,95,4.52,N,N,Y,Y,some insect damage and white stipple; clustered symptoms
PB1-18,3-Jun-16,S,2016,,2,"1,2,4",2,4,52,11,29,0,0,0,0,11,29,2.63,Y,Y,Y,Y,leader is dead; branch 1 become new leader; clustered symptoms
PB1-19,3-Jun-16,S,2016,,2,"1,2,3,4",2,4,52,8,30,6,30,7,24,21,84,4,Y,N,Y,Y,clustered symptoms
PB1-20,3-Jun-16,S,2016,,1,"1,2,3,4",2,4,32,18,187,12,22,7,26,37,235,6.35,N,N,Y,Y,some stipple and insect damage; clustered symptoms
SB1-01,6-Jun-16,S,2016,,1,1,1,1,25,6,5,4,6,3,2,13,13,1,N,N,N,Y,Only 14 leaves total; branch 2 from 2015 dead; few curled leaves not blight
SB1-02,6-Jun-16,S,2016,,3,123,3,3,75,5,4,2,6,3,6,10,16,1.6,N,N,Y,Y,clustered symptoms
SB1-03,6-Jun-16,S,2016,,3,3,3,3,75,3,0,3,0,3,0,9,0,0,N,N,N,Y,3 leaves total; 2 w extensive insect damage and w symptoms; 1 v small no sypmtoms
SB1-04,6-Jun-16,S,2016,,4,34,4,4,100,4,0,9,1,3,5,16,6,0.37,N,N,N,Y,
SB1-05,6-Jun-16,S,2016,,,,,,,,,,,,,,,,,,,missing,Missing
SB1-06,6-Jun-16,S,2016,,1,1,1,1,25,10,5,5,4,6,3,21,12,0.57,N,N,N,Y,"Insect damage, large pieces of leaves missing"
SB1-07,6-Jun-16,S,2016,,4,12,1,2,86,7,0,6,3,6,1,19,4,0.21,N,N,N,Y,"100% w symptoms, only 8 leaves"
SB1-08,6-Jun-16,S,2016,,3,234,4,4,80,6,8,8,8,9,0,23,16,0.69,N,N,N,Y,"insect herb, many small black/brown leaves w insect damage and blight; branch #3 broken"
SB1-09,6-Jun-16,S,2016,,1,12,1,2,26,4,2,3,1,4,2,11,5,0.45,N,N,Y,Y,insect herb; clustered symptoms
SB1-10,6-Jun-16,S,2016,,3,1234,4,4,80,4,3,4,6,3,3,11,12,1.09,Y,N,Y,Y,some insect herb; clustered symptoms
SB1-11,6-Jun-16,S,2016,,3,23,3,3,75,7,13,3,6,3,0,13,19,1.46,N,N,Y,Y,leader dead; lots of die back; some insect damage
SB1-12,6-Jun-16,S,2016,,1,1,1,1,25,3,3,4,2,4,6,11,11,1,N,N,Y,Y,some stipple; insect damage; twig die back; dead buds
SB1-13,6-Jun-16,S,2016,,2,234,2,4,52,3,5,6,3,6,1,15,9,0.6,N,N,Y,Y,die back small twigs
SB1-14,6-Jun-16,S,2016,,2,1234,3,4,56,3,9,6,12,10,78,19,99,5.21,N,N,Y,Y,sime insect damage; little stipple; many leaves dark brown at tips; little die back
SB1-15,6-Jun-16,S,2016,,2,1234,4,4,60,4,5,7,25,3,9,14,39,2.78,N,N,Y,Y,some die back; minor insect
SB1-16,6-Jun-16,S,2016,,0,0,0,0,0,5,3,3,0,5,0,13,3,0.23,N,N,N,Y,"only 8 very small leaves, no symptoms; many dead twigs and buds"
SB1-17,6-Jun-16,S,2016,,2,12,2,2,50,3,2,3,0,7,6,13,8,0.61,N,N,Y,Y,lots of die back; some insect damage
SB1-18,6-Jun-16,S,2016,,2,1234,1,4,48,3,4,3,3,3,5,9,12,1.33,N,N,Y,Y,some die back; minor stipple
SB1-19,6-Jun-16,S,2016,,2,1234,2,4,52,3,9,3,7,5,11,11,27,2.45,N,N,Y,Y,"many browning curl leaves, not obviously blight ; some die back"
SB1-20,6-Jun-16,S,2016,,1,23,2,3,31,5,20,3,9,4,14,12,43,3.58,N,N,N,Y,
SC1-01,27-May-16,S,2016,,0,0,0,0,0,4,14,6,11,11,40,21,65,3.09,N,N,N,Y,"several dead twigs, w no buds"
SC1-02,27-May-16,S,2016,,0,0,0,0,0,5,20,7,34,4,12,16,66,4.12,N,N,N,Y,"some dead twigs, dead buds"
SC1-03,27-May-16,S,2016,,0,0,0,0,0,15,61,7,15,7,26,29,102,3.51,Y,N,N,Y,some white stipple; few small dead twigs w no buds
SC1-04,27-May-16,S,2016,,0,0,0,0,0,4,21,8,35,4,16,16,72,4.5,Y,N,N,Y,several dead twigs w dead buds
SC1-05,27-May-16,S,2016,,0,0,0,0,0,8,47,6,18,8,27,22,92,4.18,N,N,N,Y,insect damage on some leaves
SC1-06,27-May-16,S,2016,,1,1234,2,4,32,3,10,4,11,7,35,14,56,4,N,N,Y,Y,"nearly 25% of leaves w symptoms, clustered, some insect herb, few dead branches"
SC1-07,27-May-16,S,2016,,0,0,0,0,0,3,6,9,69,4,15,16,90,5.62,N,N,N,Y,"few small dead twigs, dead buds, v minor insect damage"
SC1-08,27-May-16,S,2016,,0,0,0,0,0,13,121,8,52,4,17,25,190,7.6,N,N,N,Y,"few leaves w unusual coloration, some twist, not blight; minor insect, several dead branches w out buds"
SC1-09,27-May-16,S,2016,,0,0,0,0,0,14,62,6,12,6,23,26,97,3.73,Y,N,N,Y,"several leaves w discoloration, some stipple and insect"
SC1-10,27-May-16,S,2016,,1,1,1,1,25,20,209,10,73,7,16,37,298,8.05,Y,N,N,Y,"one leaf w symptoms, many dead branches w no/dead buds, some insect"
SC1-11,27-May-16,S,2016,,1,123,3,3,35,8,50,10,24,14,63,32,137,4.28,N,N,Y,Y,"clustered symptoms, some white stipple"
SC1-12,27-May-16,S,2016,,0,0,0,0,0,3,8,3,10,4,13,10,31,3.1,N,N,N,Y,few dead branches
SC1-13,27-May-16,S,2016,,0,0,0,0,0,7,15,3,9,4,27,14,51,3.64,N,N,N,Y,minor insect
SC1-14,27-May-16,S,2016,,0,0,0,0,0,4,7,4,21,7,34,15,62,4.13,Y,N,N,Y,"pinned by CWD, one branch dead, some brown on margin of some leaves"
SC1-15,27-May-16,S,2016,,0,0,0,0,0,4,9,7,29,3,17,14,55,3.92,N,N,N,Y,few dead twigs
SC1-16,27-May-16,S,2016,,0,0,0,0,0,8,35,5,24,8,36,21,95,4.52,Y,N,N,Y,"few discolored leaves, some white speckle, insect damage"
SC1-17,27-May-16,S,2016,,0,0,0,0,0,14,87,7,17,5,28,26,132,5.07,Y,N,N,Y,minor speckle and other insect
SC1-18,27-May-16,S,2016,,0,0,0,0,0,5,15,4,10,6,17,15,42,2.8,N,N,N,Y,2 main branches dead
SC1-19,27-May-16,S,2016,,0,0,0,0,0,6,26,5,12,15,155,26,193,7.42,Y,N,N,Y,v minor white speckle
SC1-20,27-May-16,S,2016,,0,0,0,0,0,4,12,7,32,9,26,20,70,3.5,Y,N,N,Y,"some white speckle, some tip die back"
PB1-01,10-Oct-16,F,2016,3,3,123,3,3,75,3,5,7,14,5,7,15,26,1.73,N,N,N,Y,lots of necrosis and browning;
PB1-02,10-Oct-16,F,2016,1,1,23,2,3,31,3,2,4,0,10,9,17,11,0.64,Y,N,N,Y,
PB1-03,10-Oct-16,F,2016,2,1,12,2,2,30,5,0,6,7,3,0,14,7,0.5,Y,N,N,Y,"lots of damage, browning"
PB1-04,10-Oct-16,F,2016,3,2,1234,3,4,56,5,11,5,5,9,29,19,45,2.36,N,N,N,Y,
PB1-05,10-Oct-16,F,2016,2,2,12,2,2,50,4,0,4,0,6,7,14,7,0.5,N,N,N,Y,"many dead, aborted bud; some dead, brown leaves"
PB1-06,10-Oct-16,F,2016,4,1,1234,2,4,32,8,7,11,26,9,41,28,74,2.64,N,N,N,Y,some dead buds
PB1-07,10-Oct-16,F,2016,4,3,1234,2,4,72,3,1,6,15,3,7,12,23,1.91,N,N,N,Y,many dead buds
PB1-08,10-Oct-16,F,2016,5,1,123,2,3,31,9,19,3,13,11,63,23,95,4.13,N,N,N,Y,few dead buds
PB1-09,10-Oct-16,F,2016,5,1,12,2,2,30,4,9,6,20,5,9,15,38,2.53,Y,N,Y,Y,few dead buds
PB1-10,10-Oct-16,F,2016,4,1,1,1,1,25,5,14,5,12,7,41,17,67,3.94,Y,N,N,Y,few dead buds; single leaf w BLD
PB1-11,10-Oct-16,F,2016,3,1,12,2,2,30,6,9,7,13,7,26,20,48,2.4,Y,N,Y,Y,some dead buds
PB1-12,10-Oct-16,F,2016,5,2,12,2,2,50,3,1,8,24,5,20,16,45,2.81,Y,N,N,Y,some dead buds
PB1-13,10-Oct-16,F,2016,3,1,123,2,3,31,7,36,4,15,5,29,16,80,5,Y,N,N,Y,"many dead buds; necrotic, dead brown tips on leaves"
PB1-14,10-Oct-16,F,2016,5,1,124,2,4,32,9,38,7,27,3,10,19,75,3.94,Y,N,N,Y,some dead buds; double/triple leader
PB1-15,10-Oct-16,F,2016,3,1,124,1,4,28,11,62,4,10,6,6,21,78,3.71,Y,N,N,Y,many dead/dying buds; some brown tips
PB1-16,10-Oct-16,F,2016,2,1,12,2,2,30,8,0,9,12,9,6,26,18,0.69,N,N,N,Y,many dead/dying buds
PB1-17,10-Oct-16,F,2016,3,1,12,1,2,26,10,38,7,23,4,7,21,68,3.23,N,N,N,Y,some dead buds; brown tipds
PB1-18,10-Oct-16,F,2016,1,0,0,0,0,0,3,2,3,4,4,1,10,7,0.7,N,N,N,Y,dying buds
PB1-19,10-Oct-16,F,2016,1,0,0,0,0,0,8,0,7,8,8,2,23,10,0.43,Y,N,Y,Y,only 12 leaves total; lots of dead/damaged/dying leaf tissue
PB1-20,10-Oct-16,F,2016,3,1,1,1,1,25,10,22,8,12,11,15,29,49,1.68,Y,N,Y,Y,lots of dead/dying leaves
SB1-01,12-Oct-16,F,2016,2,1,1,1,1,25,8,4,4,3,3,2,15,9,0.6,N,N,N,Y,dead buds
SB1-02,12-Oct-16,F,2016,3,2,123,1,3,47,3,7,0,0,0,0,3,7,2.33,N,N,N,Y,dead leaf tissue; lots of fine twig death; only 1 branch w 3twigs
SB1-03,12-Oct-16,F,2016,1,0,0,0,0,0,3,0,3,0,0,0,6,0,0,N,N,N,Y,lots of fine twig death; no leaves; many dead buds
SB1-04,12-Oct-16,F,2016,1,0,0,0,0,0,7,0,0,0,0,0,7,0,0,N,N,N,Y,lots of fine twig death; only 1 branch w 3twigs; dead buds; only 1 small leaf
SB1-05,12-Oct-16,F,2016,1,4,12,2,2,90,4,2,5,0,0,0,9,2,0.22,N,N,N,Y,fine twig death; only 2 leaves; pinned under debris
SB1-06,12-Oct-16,F,2016,1,0,0,0,0,0,10,6,6,2,5,2,21,10,0.47,N,N,N,Y,dead buds
SB1-07,12-Oct-16,F,2016,1,3,12,1,2,66,4,0,5,2,3,3,12,5,0.41,N,N,N,Y,dead tissue; few leaves
SB1-08,12-Oct-16,F,2016,1,2,24,2,4,52,4,4,11,6,3,0,18,10,0.55,N,N,N,Y,dead buds
SB1-09,12-Oct-16,F,2016,1,2,12,2,2,50,4,1,3,5,3,0,10,6,0.6,N,N,N,Y,dead buds and fine twigs
SB1-10,12-Oct-16,F,2016,2,3,123,2,3,71,4,3,4,3,5,3,13,9,0.69,N,N,N,Y,dead leader
SB1-11,12-Oct-16,F,2016,1,2,1,1,1,45,8,2,4,1,9,0,21,3,0.14,N,N,N,Y,"6 leaves, 2 w symptoms"
SB1-12,12-Oct-16,F,2016,1,2,1,1,1,45,2,0,3,2,3,3,8,5,0.62,N,N,N,Y,"9 leaves, 3 w BLD; some w insect damage and dead tissue"
SB1-13,12-Oct-16,F,2016,1,2,123,2,3,51,4,5,7,3,4,0,15,8,0.53,N,N,Y,Y,"21 leaves, 8 w BLD; some very small; clustered"
SB1-14,12-Oct-16,F,2016,4,3,123,2,3,71,3,6,5,10,10,62,18,78,4.33,N,N,Y,Y,minor insect damage; several leafless branches; clustered
SB1-15,12-Oct-16,F,2016,2,1,2,2,2,30,4,1,7,8,5,4,16,13,0.81,N,N,N,Y,minor insect damage; many dead leafless branches
SB1-16,12-Oct-16,F,2016,1,0,0,0,0,0,5,0,3,0,5,0,13,0,0,N,N,N,Y,onle 2 leaves; v small; insect damage
SB1-17,12-Oct-16,F,2016,3,1,2,2,2,30,4,2,3,2,7,6,14,10,0.71,Y,N,N,Y,"some discoloration, minor insect and minor browse"
SB1-18,12-Oct-16,F,2016,3,2,12,1,2,46,3,2,3,3,7,10,13,15,1.15,N,N,N,Y,"21 leaves, 7 w BLD; minor insect"
SB1-19,12-Oct-16,F,2016,4,1,12,1,2,26,3,4,4,4,4,8,11,16,1.45,N,N,Y,Y,"some leaf damage, dead tissue; clustered"
SB1-20,12-Oct-16,F,2016,4,0,0,0,0,0,5,18,4,7,3,4,12,29,2.41,N,N,N,Y,"some insect damage, dead tissue"
SC1-01,11-Oct-16,F,2016,5,0,0,0,0,0,4,13,4,10,10,32,18,55,3.05,N,N,N,Y,damaged leaves
SC1-02,11-Oct-16,F,2016,1,0,0,0,0,0,5,2,5,3,4,0,14,5,0.35,N,N,N,Y,"damaged leaves, dead tissue"
SC1-03,11-Oct-16,F,2016,2,0,0,0,0,0,16,23,6,12,6,8,28,43,1.53,N,N,N,Y,"damaged leaves, one main branch w all dead leaves"
SC1-04,11-Oct-16,F,2016,4,0,0,0,0,0,4,14,7,8,6,36,17,58,3.41,N,N,N,Y,some dead tissue
SC1-05,11-Oct-16,F,2016,4,0,0,0,0,0,7,41,6,19,9,27,22,87,3.95,N,N,N,Y,top of leader is dead
SC1-06,11-Oct-16,F,2016,2,0,0,0,0,0,3,0,3,0,6,0,12,0,0,N,N,N,Y,"all w no chlorophyll, fall color, leaves curled; some dead tissue"
SC1-07,11-Oct-16,F,2016,3,0,0,0,0,0,3,0,10,30,5,0,18,30,1.66,N,N,N,Y,damaged leaves
SC1-08,11-Oct-16,F,2016,1,0,0,0,0,0,5,0,12,2,8,6,25,8,0.32,N,N,N,Y,"dead tissue, damaged leaves"
SC1-09,11-Oct-16,F,2016,1,0,0,0,0,0,8,7,6,4,5,0,19,11,0.57,N,N,N,Y,"no green leaves, all hanging, dead, dead buds"
SC1-10,11-Oct-16,F,2016,4,0,0,0,0,0,17,288,10,109,9,41,36,438,12.16,N,N,N,Y,
SC1-11,11-Oct-16,F,2016,5,0,0,0,0,0,8,39,9,18,13,58,30,115,3.83,N,N,N,Y,some leaf damage
SC1-12,11-Oct-16,F,2016,4,0,0,0,0,0,3,6,3,4,3,9,9,19,2.11,N,N,N,Y,"some leaf damage, dead buds"
SC1-13,11-Oct-16,F,2016,5,0,0,0,0,0,6,15,3,9,7,27,16,51,3.18,Y,N,N,Y,some leaf damage
SC1-14,11-Oct-16,F,2016,2,0,0,0,0,0,4,4,5,7,7,25,16,36,2.25,N,N,N,Y,some leaf damage; dead/dying leader
