Date,Tree,Species,Direction,Cover Class
24-May,43,Honeysuckle,N,0
24-May,43,Privot,N,1
24-May,43,Spicebush,N,1
24-May,43,Rubus,N,0
24-May,43,Mapleleaf viburnum,N,0
24-May,43,Buckthorn,S,0
24-May,43,Multiflora rose,S,0
24-May,43,Honeysuckle,S,0
24-May,43,Privot,S,1
24-May,43,Spicebush,S,0
24-May,43,Rubus,S,0
24-May,43,Mapleleaf viburnum,S,0
24-May,151,Buckthorn,N,0
24-May,151,Multiflora rose,N,2
24-May,151,Honeysuckle,N,0
24-May,151,Privot,N,0
24-May,151,Spicebush,N,0
24-May,151,Rubus,N,0
24-May,151,Mapleleaf viburnum,N,0
24-May,151,Buckthorn,S,0
24-May,151,Multiflora rose,S,1
24-May,151,Honeysuckle,S,0
24-May,151,Privot,S,0
24-May,151,Spicebush,S,0
24-May,151,Rubus,S,0
24-May,151,Mapleleaf viburnum,S,0
24-May,205,Buckthorn,N,0
24-May,205,Multiflora rose,N,2
24-May,205,Honeysuckle,N,0
24-May,205,Privot,N,0
24-May,205,Spicebush,N,2
24-May,205,Rubus,N,1
24-May,205,Mapleleaf viburnum,N,0
24-May,205,Buckthorn,S,1
24-May,205,Multiflora rose,S,2
24-May,205,Honeysuckle,S,0
24-May,205,Privot,S,0
24-May,205,Spicebush,S,1
24-May,205,Rubus,S,1
24-May,205,Mapleleaf viburnum,S,0
24-May,55,Buckthorn,N,0
24-May,55,Multiflora rose,N,2
24-May,55,Honeysuckle,N,0
24-May,55,Privot,N,0
24-May,55,Spicebush,N,1
24-May,55,Rubus,N,1
24-May,55,Mapleleaf viburnum,N,0
24-May,55,Buckthorn,S,1
24-May,55,Multiflora rose,S,5
24-May,55,Honeysuckle,S,0
24-May,55,Privot,S,0
24-May,55,Spicebush,S,0
24-May,55,Rubus,S,1
24-May,55,Mapleleaf viburnum,S,0
24-May,147,Buckthorn,N,0
24-May,147,Multiflora rose,N,1
24-May,147,Honeysuckle,N,0
24-May,147,Privot,N,0
24-May,147,Spicebush,N,2
24-May,147,Rubus,N,1
24-May,147,Mapleleaf viburnum,N,0
24-May,147,Buckthorn,S,1
24-May,147,Multiflora rose,S,2
24-May,147,Honeysuckle,S,1
24-May,147,Privot,S,0
24-May,147,Spicebush,S,1
24-May,147,Rubus,S,1
24-May,147,Mapleleaf viburnum,S,0
24-May,926,Buckthorn,N,0
24-May,926,Multiflora rose,N,4
24-May,926,Honeysuckle,N,0
24-May,926,Privot,N,0
24-May,926,Spicebush,N,1
24-May,926,Rubus,N,0
24-May,926,Mapleleaf viburnum,N,0
24-May,926,Buckthorn,S,0
24-May,926,Multiflora rose,S,5
24-May,926,Honeysuckle,S,0
24-May,926,Privot,S,0
24-May,926,Spicebush,S,1
24-May,926,Rubus,S,0
24-May,926,Mapleleaf viburnum,S,0
24-May,148,Buckthorn,N,1
24-May,148,Multiflora rose,N,3
24-May,148,Honeysuckle,N,0
24-May,148,Privot,N,0
24-May,148,Spicebush,N,1
24-May,148,Rubus,N,1
24-May,148,Mapleleaf viburnum,N,0
24-May,148,Buckthorn,S,0
24-May,148,Multiflora rose,S,4
24-May,148,Honeysuckle,S,0
24-May,148,Privot,S,0
24-May,148,Spicebush,S,1
24-May,148,Rubus,S,0
24-May,148,Mapleleaf viburnum,S,0
24-May,925,Buckthorn,N,0
24-May,925,Multiflora rose,N,4
24-May,925,Honeysuckle,N,0
24-May,925,Privot,N,0
24-May,925,Spicebush,N,1
24-May,925,Rubus,N,0
24-May,925,Mapleleaf viburnum,N,0
24-May,925,Buckthorn,S,0
24-May,925,Multiflora rose,S,3
24-May,925,Honeysuckle,S,0
24-May,925,Privot,S,0
24-May,925,Spicebush,S,1
24-May,925,Rubus,S,1
24-May,925,Mapleleaf viburnum,,0
24-May,208,Buckthorn,N,0
24-May,208,Multiflora rose,N,5
24-May,208,Honeysuckle,N,0
24-May,208,Privot,N,0
24-May,208,Spicebush,N,0
24-May,208,Rubus,N,0
24-May,208,Mapleleaf viburnum,N,0
24-May,208,Buckthorn,S,1
24-May,208,Multiflora rose,S,3
24-May,208,Honeysuckle,S,0
24-May,208,Privot,S,0
24-May,208,Spicebush,S,0
24-May,208,Rubus,S,0
24-May,208,Mapleleaf viburnum,S,0
24-May,203,Buckthorn,N,0
24-May,203,Multiflora rose,N,4
24-May,203,Honeysuckle,N,0
24-May,203,Privot,N,0
24-May,203,Spicebush,N,0
24-May,203,Rubus,N,0
24-May,203,Mapleleaf viburnum,N,0
24-May,203,Buckthorn,S,1
24-May,203,Multiflora rose,S,3
24-May,203,Honeysuckle,S,0
24-May,203,Privot,S,0
24-May,203,Spicebush,S,0
24-May,203,Rubus,S,0
24-May,203,Mapleleaf viburnum,S,0
24-May,210,Buckthorn,N,1
24-May,210,Multiflora rose,N,2
24-May,210,Honeysuckle,N,0
24-May,210,Privot,N,0
24-May,210,Spicebush,N,0
24-May,210,Rubus,N,0
24-May,210,Mapleleaf viburnum,N,0
24-May,210,Buckthorn,S,0
24-May,210,Multiflora rose,S,1
24-May,210,Honeysuckle,S,1
24-May,210,Privot,S,0
24-May,210,Spicebush,S,0
24-May,210,Rubus,S,0
24-May,210,Mapleleaf viburnum,S,0
24-May,930,Buckthorn,N,1
24-May,930,Multiflora rose,N,2
24-May,930,Honeysuckle,N,1
24-May,930,Privot,N,0
24-May,930,Spicebush,N,0
24-May,930,Rubus,N,0
24-May,930,Mapleleaf viburnum,N,0
24-May,930,Buckthorn,S,0
24-May,930,Multiflora rose,S,3
24-May,930,Honeysuckle,S,1
24-May,930,Privot,S,0
24-May,930,Spicebush,S,0
24-May,930,Rubus,S,0
24-May,930,Mapleleaf viburnum,S,0
24-May,915,Buckthorn,N,1
24-May,915,Multiflora rose,N,1
24-May,915,Honeysuckle,N,1
24-May,915,Privot,N,0
24-May,915,Spicebush,N,1
24-May,915,Rubus,N,1
24-May,915,Mapleleaf viburnum,N,0
24-May,915,Buckthorn,S,0
24-May,915,Multiflora rose,S,2
24-May,915,Honeysuckle,S,0
24-May,915,Privot,S,0
24-May,915,Spicebush,S,0
24-May,915,Rubus,S,1
24-May,915,Mapleleaf viburnum,S,0
24-May,153,Buckthorn,N,1
24-May,153,Multiflora rose,N,2
24-May,153,Honeysuckle,N,0
24-May,153,Privot,N,0
24-May,153,Spicebush,N,1
24-May,153,Rubus,N,0
24-May,153,Mapleleaf viburnum,N,0
24-May,153,Buckthorn,S,1
24-May,153,Multiflora rose,S,2
24-May,153,Honeysuckle,S,0
24-May,153,Privot,S,0
24-May,153,Spicebush,S,1
24-May,153,Rubus,S,0
24-May,153,Mapleleaf viburnum,S,0
24-May,146,Buckthorn,N,1
24-May,146,Multiflora rose,N,3
24-May,146,Honeysuckle,N,1
24-May,146,Privot,N,0
24-May,146,Spicebush,N,0
24-May,146,Rubus,N,0
24-May,146,Mapleleaf viburnum,N,0
24-May,146,Buckthorn,S,1
24-May,146,Multiflora rose,S,3
24-May,146,Honeysuckle,S,0
24-May,146,Privot,S,0
24-May,146,Spicebush,S,2
24-May,146,Rubus,S,0
24-May,146,Mapleleaf viburnum,S,0
24-May,145,Buckthorn,N,1
24-May,145,Multiflora rose,N,0
24-May,145,Honeysuckle,N,0
24-May,145,Privot,N,0
24-May,145,Spicebush,N,0
24-May,145,Rubus,N,0
24-May,145,Mapleleaf viburnum,N,0
24-May,145,Buckthorn,S,1
24-May,145,Multiflora rose,S,0
24-May,145,Honeysuckle,S,0
24-May,145,Privot,S,0
24-May,145,Spicebush,S,0
24-May,145,Rubus,S,0
24-May,145,Mapleleaf viburnum,S,0
24-May,914,Buckthorn,N,1
24-May,914,Multiflora rose,N,1
24-May,914,Honeysuckle,N,0
24-May,914,Privot,N,0
24-May,914,Spicebush,N,0
24-May,914,Rubus,N,1
24-May,914,Mapleleaf viburnum,N,0
24-May,914,Buckthorn,S,1
24-May,914,Multiflora rose,S,1
24-May,914,Honeysuckle,S,0
24-May,914,Privot,S,1
24-May,914,Spicebush,S,0
24-May,914,Rubus,S,0
24-May,914,Mapleleaf viburnum,S,0
24-May,250,Buckthorn,N,1
24-May,250,Multiflora rose,N,1
24-May,250,Honeysuckle,N,1
24-May,250,Privot,N,0
24-May,250,Spicebush,N,0
24-May,250,Rubus,N,0
24-May,250,Mapleleaf viburnum,N,0
24-May,250,Buckthorn,S,1
24-May,250,Multiflora rose,S,0
24-May,250,Honeysuckle,S,1
24-May,250,Privot,S,0
24-May,250,Spicebush,S,0
24-May,250,Rubus,S,0
24-May,250,Mapleleaf viburnum,S,0
24-May,152,Buckthorn,N,1
24-May,152,Multiflora rose,N,1
24-May,152,Honeysuckle,N,0
24-May,152,Privot,N,0
24-May,152,Spicebush,N,0
24-May,152,Rubus,N,0
24-May,152,Mapleleaf viburnum,N,0
24-May,152,Buckthorn,S,1
24-May,152,Multiflora rose,S,1
24-May,152,Honeysuckle,S,0
24-May,152,Privot,S,1
24-May,152,Spicebush,S,0
24-May,152,Rubus,S,0
24-May,152,Mapleleaf viburnum,S,0
24-May,211,Buckthorn,N,1
24-May,211,Multiflora rose,N,2
24-May,211,Honeysuckle,N,0
24-May,211,Privot,N,0
24-May,211,Spicebush,N,0
24-May,211,Rubus,N,0
24-May,211,Mapleleaf viburnum,N,0
24-May,211,Buckthorn,S,1
24-May,211,Multiflora rose,S,1
24-May,211,Honeysuckle,S,0
24-May,211,Privot,S,0
24-May,211,Spicebush,S,0
24-May,211,Rubus,S,1
24-May,211,Mapleleaf viburnum,S,0
24-May,63,Buckthorn,N,1
24-May,63,Multiflora rose,N,1
24-May,63,Honeysuckle,N,1
24-May,63,Privot,N,0
24-May,63,Spicebush,N,0
24-May,63,Rubus,N,0
24-May,63,Mapleleaf viburnum,N,0
24-May,63,Buckthorn,S,1
24-May,63,Multiflora rose,S,1
24-May,63,Honeysuckle,S,1
24-May,63,Privot,S,0
24-May,63,Spicebush,S,0
24-May,63,Rubus,S,0
24-May,63,Mapleleaf viburnum,S,0
24-May,206,Buckthorn,N,2
24-May,206,Multiflora rose,N,2
24-May,206,Honeysuckle,N,0
24-May,206,Privot,N,0
24-May,206,Spicebush,N,0
24-May,206,Rubus,N,0
24-May,206,Mapleleaf viburnum,N,0
24-May,206,Buckthorn,S,2
24-May,206,Multiflora rose,S,1
24-May,206,Honeysuckle,S,0
24-May,206,Privot,S,0
24-May,206,Spicebush,S,1
24-May,206,Rubus,S,0
24-May,206,Mapleleaf viburnum,S,0
24-May,204,Buckthorn,N,1
24-May,204,Multiflora rose,N,1
24-May,204,Honeysuckle,N,0
24-May,204,Privot,N,0
24-May,204,Spicebush,N,1
24-May,204,Rubus,N,1
24-May,204,Mapleleaf viburnum,N,0
24-May,204,Buckthorn,S,1
24-May,204,Multiflora rose,S,2
24-May,204,Honeysuckle,S,0
24-May,204,Privot,S,0
24-May,204,Spicebush,S,0
24-May,204,Rubus,S,0
24-May,204,Mapleleaf viburnum,S,0
26-May,31,Buckthorn,N,1
26-May,31,Multiflora rose,N,1
26-May,31,Honeysuckle,N,0
26-May,31,Privot,N,1
26-May,31,Spicebush,N,0
26-May,31,Rubus,N,1
26-May,31,Mapleleaf viburnum,N,0
26-May,31,Buckthorn,S,1
26-May,31,Multiflora rose,S,1
26-May,31,Honeysuckle,S,0
26-May,31,Privot,S,0
26-May,31,Spicebush,S,0
26-May,31,Rubus,S,1
26-May,31,Mapleleaf viburnum,S,0
26-May,59,Buckthorn,N,1
26-May,59,Multiflora rose,N,1
26-May,59,Honeysuckle,N,1
26-May,59,Privot,N,0
26-May,59,Spicebush,N,0
26-May,59,Rubus,N,1
26-May,59,Mapleleaf viburnum,N,0
26-May,59,Buckthorn,S,2
26-May,59,Multiflora rose,S,1
26-May,59,Honeysuckle,S,1
26-May,59,Privot,S,0
26-May,59,Spicebush,S,0
26-May,59,Rubus,S,0
26-May,59,Mapleleaf viburnum,S,0
26-May,909,Buckthorn,N,1
26-May,909,Multiflora rose,N,1
26-May,909,Honeysuckle,N,0
26-May,909,Privot,N,0
26-May,909,Spicebush,N,1
26-May,909,Rubus,N,1
26-May,909,Mapleleaf viburnum,N,0
26-May,909,Buckthorn,S,1
26-May,909,Multiflora rose,S,1
26-May,909,Honeysuckle,S,0
26-May,909,Privot,S,0
26-May,909,Spicebush,S,1
26-May,909,Rubus,S,0
26-May,909,Mapleleaf viburnum,S,0
26-May,74,Buckthorn,N,1
26-May,74,Multiflora rose,N,2
26-May,74,Honeysuckle,N,0
26-May,74,Privot,N,1
26-May,74,Spicebush,N,1
26-May,74,Rubus,N,1
26-May,74,Mapleleaf viburnum,N,0
26-May,74,Buckthorn,S,2
26-May,74,Multiflora rose,S,4
26-May,74,Honeysuckle,S,0
26-May,74,Privot,S,1
26-May,74,Spicebush,S,0
26-May,74,Rubus,S,1
26-May,74,Mapleleaf viburnum,S,1
26-May,75,Buckthorn,N,2
26-May,75,Multiflora rose,N,3
26-May,75,Honeysuckle,N,0
26-May,75,Privot,N,0
26-May,75,Spicebush,N,1
26-May,75,Rubus,N,0
26-May,75,Mapleleaf viburnum,N,0
26-May,75,Buckthorn,S,1
26-May,75,Multiflora rose,S,1
26-May,75,Honeysuckle,S,1
26-May,75,Privot,S,0
26-May,75,Spicebush,S,0
26-May,75,Rubus,S,1
26-May,75,Mapleleaf viburnum,S,0
26-May,72,Buckthorn,N,1
26-May,72,Multiflora rose,N,0
26-May,72,Honeysuckle,N,1
26-May,72,Privot,N,0
26-May,72,Spicebush,N,2
26-May,72,Rubus,N,1
26-May,72,Mapleleaf viburnum,N,0
26-May,72,Buckthorn,S,1
26-May,72,Multiflora rose,S,1
26-May,72,Honeysuckle,S,1
26-May,72,Privot,S,0
26-May,72,Spicebush,S,1
26-May,72,Rubus,S,1
26-May,72,Mapleleaf viburnum,S,0
26-May,902,Buckthorn,N,1
26-May,902,Multiflora rose,N,2
26-May,902,Honeysuckle,N,1
26-May,902,Privot,N,0
26-May,902,Spicebush,N,0
26-May,902,Rubus,N,0
26-May,902,Mapleleaf viburnum,N,0
26-May,902,Buckthorn,S,2
26-May,902,Multiflora rose,S,2
26-May,902,Honeysuckle,S,1
26-May,902,Privot,S,0
26-May,902,Spicebush,S,0
26-May,902,Rubus,S,0
26-May,902,Mapleleaf viburnum,S,0
26-May,68,Buckthorn,N,0
26-May,68,Multiflora rose,N,1
26-May,68,Honeysuckle,N,0
26-May,68,Privot,N,0
26-May,68,Spicebush,N,1
26-May,68,Rubus,N,0
26-May,68,Mapleleaf viburnum,N,0
26-May,68,Buckthorn,S,1
26-May,68,Multiflora rose,S,0
26-May,68,Honeysuckle,S,0
26-May,68,Privot,S,0
26-May,68,Spicebush,S,2
26-May,68,Rubus,S,1
26-May,68,Mapleleaf viburnum,S,0
26-May,71,Buckthorn,N,0
26-May,71,Multiflora rose,N,1
26-May,71,Honeysuckle,N,0
26-May,71,Privot,N,0
26-May,71,Spicebush,N,0
26-May,71,Rubus,N,0
26-May,71,Mapleleaf viburnum,N,0
26-May,71,Buckthorn,S,0
26-May,71,Multiflora rose,S,1
26-May,71,Honeysuckle,S,0
26-May,71,Privot,S,0
26-May,71,Spicebush,S,1
26-May,71,Rubus,S,1
26-May,71,Mapleleaf viburnum,S,0
26-May,22,Buckthorn,N,1
26-May,22,Multiflora rose,N,2
26-May,22,Honeysuckle,N,0
26-May,22,Privot,N,0
26-May,22,Spicebush,N,0
26-May,22,Rubus,N,1
26-May,22,Mapleleaf viburnum,N,0
26-May,22,Buckthorn,S,0
26-May,22,Multiflora rose,S,1
26-May,22,Honeysuckle,S,1
26-May,22,Privot,S,0
26-May,22,Spicebush,S,0
26-May,22,Rubus,S,0
26-May,22,Mapleleaf viburnum,S,0
26-May,26,Buckthorn,N,1
26-May,26,Multiflora rose,N,1
26-May,26,Honeysuckle,N,1
26-May,26,Privot,N,0
26-May,26,Spicebush,N,0
26-May,26,Rubus,N,0
26-May,26,Mapleleaf viburnum,N,1
26-May,26,Buckthorn,S,1
26-May,26,Multiflora rose,S,1
26-May,26,Honeysuckle,S,0
26-May,26,Privot,S,0
26-May,26,Spicebush,S,1
26-May,26,Rubus,S,0
26-May,26,Mapleleaf viburnum,S,0
26-May,27,Buckthorn,N,1
26-May,27,Multiflora rose,N,1
26-May,27,Honeysuckle,N,1
26-May,27,Privot,N,0
26-May,27,Spicebush,N,1
26-May,27,Rubus,N,0
26-May,27,Mapleleaf viburnum,N,1
26-May,27,Buckthorn,S,1
26-May,27,Multiflora rose,S,1
26-May,27,Honeysuckle,S,0
26-May,27,Privot,S,0
26-May,27,Spicebush,S,0
26-May,27,Rubus,S,0
26-May,27,Mapleleaf viburnum,S,0
26-May,24,Buckthorn,N,0
26-May,24,Multiflora rose,N,1
26-May,24,Honeysuckle,N,0
26-May,24,Privot,N,0
26-May,24,Spicebush,N,0
26-May,24,Rubus,N,0
26-May,24,Mapleleaf viburnum,N,0
26-May,24,Buckthorn,S,1
26-May,24,Multiflora rose,S,0
26-May,24,Honeysuckle,S,0
26-May,24,Privot,S,1
26-May,24,Spicebush,S,0
26-May,24,Rubus,S,1
26-May,24,Mapleleaf viburnum,S,0
26-May,901,Buckthorn,N,1
26-May,901,Multiflora rose,N,3
26-May,901,Honeysuckle,N,0
26-May,901,Privot,N,0
26-May,901,Spicebush,N,0
26-May,901,Rubus,N,0
26-May,901,Mapleleaf viburnum,N,0
26-May,901,Buckthorn,S,1
26-May,901,Multiflora rose,S,1
26-May,901,Honeysuckle,S,0
26-May,901,Privot,S,1
26-May,901,Spicebush,S,0
26-May,901,Rubus,S,1
26-May,901,Mapleleaf viburnum,S,0
26-May,134,Buckthorn,N,0
26-May,134,Multiflora rose,N,0
26-May,134,Honeysuckle,N,0
26-May,134,Privot,N,0
26-May,134,Spicebush,N,0
26-May,134,Rubus,N,0
26-May,134,Mapleleaf viburnum,N,0
26-May,134,Buckthorn,S,0
26-May,134,Multiflora rose,S,0
26-May,134,Honeysuckle,S,0
26-May,134,Privot,S,0
26-May,134,Spicebush,S,0
26-May,134,Rubus,S,0
26-May,134,Mapleleaf viburnum,S,0
26-May,221,Buckthorn,N,0
26-May,221,Multiflora rose,N,0
26-May,221,Honeysuckle,N,0
26-May,221,Privot,N,0
26-May,221,Spicebush,N,0
26-May,221,Rubus,N,0
26-May,221,Mapleleaf viburnum,N,0
26-May,221,Buckthorn,S,0
26-May,221,Multiflora rose,S,0
26-May,221,Honeysuckle,S,0
26-May,221,Privot,S,0
26-May,221,Spicebush,S,0
26-May,221,Rubus,S,0
26-May,221,Mapleleaf viburnum,S,0
26-May,218,Buckthorn,N,0
26-May,218,Multiflora rose,N,1
26-May,218,Honeysuckle,N,0
26-May,218,Privot,N,0
26-May,218,Spicebush,N,0
26-May,218,Rubus,N,0
26-May,218,Mapleleaf viburnum,N,0
26-May,218,Buckthorn,S,1
26-May,218,Multiflora rose,S,1
26-May,218,Honeysuckle,S,0
26-May,218,Privot,S,0
26-May,218,Spicebush,S,0
26-May,218,Rubus,S,0
26-May,218,Mapleleaf viburnum,S,0
26-May,222,Buckthorn,N,0
26-May,222,Multiflora rose,N,0
26-May,222,Honeysuckle,N,0
26-May,222,Privot,N,0
26-May,222,Spicebush,N,0
26-May,222,Rubus,N,0
26-May,222,Mapleleaf viburnum,N,0
26-May,222,Buckthorn,S,1
26-May,222,Multiflora rose,S,0
26-May,222,Honeysuckle,S,0
26-May,222,Privot,S,0
26-May,222,Spicebush,S,0
26-May,222,Rubus,S,0
26-May,222,Mapleleaf viburnum,S,0
26-May,139,Buckthorn,N,0
26-May,139,Multiflora rose,N,1
26-May,139,Honeysuckle,N,0
26-May,139,Privot,N,1
26-May,139,Spicebush,N,0
26-May,139,Rubus,N,0
26-May,139,Mapleleaf viburnum,N,0
26-May,139,Buckthorn,S,0
26-May,139,Multiflora rose,S,0
26-May,139,Honeysuckle,S,0
26-May,139,Privot,S,0
26-May,139,Spicebush,S,0
26-May,139,Rubus,S,0
26-May,139,Mapleleaf viburnum,S,0
26-May,140,Buckthorn,N,0
26-May,140,Multiflora rose,N,1
26-May,140,Honeysuckle,N,0
26-May,140,Privot,N,1
26-May,140,Spicebush,N,0
26-May,140,Rubus,N,0
26-May,140,Mapleleaf viburnum,N,0
26-May,140,Buckthorn,S,0
26-May,140,Multiflora rose,S,0
26-May,140,Honeysuckle,S,0
26-May,140,Privot,S,0
26-May,140,Spicebush,S,0
26-May,140,Rubus,S,0
26-May,140,Mapleleaf viburnum,S,0
26-May,861,Buckthorn,N,0
26-May,861,Multiflora rose,N,1
26-May,861,Honeysuckle,N,0
26-May,861,Privot,N,0
26-May,861,Spicebush,N,0
26-May,861,Rubus,N,0
26-May,861,Mapleleaf viburnum,N,0
26-May,861,Buckthorn,S,1
26-May,861,Multiflora rose,S,1
26-May,861,Honeysuckle,S,0
26-May,861,Privot,S,0
26-May,861,Spicebush,S,0
26-May,861,Rubus,S,0
26-May,861,Mapleleaf viburnum,S,0
26-May,136,Buckthorn,N,0
26-May,136,Multiflora rose,N,0
26-May,136,Honeysuckle,N,0
26-May,136,Privot,N,0
26-May,136,Spicebush,N,0
26-May,136,Rubus,N,0
26-May,136,Mapleleaf viburnum,N,0
26-May,136,Buckthorn,S,0
26-May,136,Multiflora rose,S,1
26-May,136,Honeysuckle,S,0
26-May,136,Privot,S,0
26-May,136,Spicebush,S,0
26-May,136,Rubus,S,0
26-May,136,Mapleleaf viburnum,S,0
26-May,137,Buckthorn,N,0
26-May,137,Multiflora rose,N,1
26-May,137,Honeysuckle,N,0
26-May,137,Privot,N,0
26-May,137,Spicebush,N,0
26-May,137,Rubus,N,0
26-May,137,Mapleleaf viburnum,N,0
26-May,137,Buckthorn,S,0
26-May,137,Multiflora rose,S,1
26-May,137,Honeysuckle,S,0
26-May,137,Privot,S,0
26-May,137,Spicebush,S,0
26-May,137,Rubus,S,0
26-May,137,Mapleleaf viburnum,S,0
26-May,202,Buckthorn,N,0
26-May,202,Multiflora rose,N,0
26-May,202,Honeysuckle,N,0
26-May,202,Privot,N,0
26-May,202,Spicebush,N,0
26-May,202,Rubus,N,0
26-May,202,Mapleleaf viburnum,N,0
26-May,202,Buckthorn,S,0
26-May,202,Multiflora rose,S,0
26-May,202,Honeysuckle,S,0
26-May,202,Privot,S,0
26-May,202,Spicebush,S,0
26-May,202,Rubus,S,0
26-May,202,Mapleleaf viburnum,S,0
26-May,217,Buckthorn,N,0
26-May,217,Multiflora rose,N,0
26-May,217,Honeysuckle,N,0
26-May,217,Privot,N,0
26-May,217,Spicebush,N,0
26-May,217,Rubus,N,0
26-May,217,Mapleleaf viburnum,N,0
26-May,217,Buckthorn,S,0
26-May,217,Multiflora rose,S,0
26-May,217,Honeysuckle,S,0
26-May,217,Privot,S,0
26-May,217,Spicebush,S,0
26-May,217,Rubus,S,0
26-May,217,Mapleleaf viburnum,S,0
26-May,216,Buckthorn,N,0
26-May,216,Multiflora rose,N,1
