Tree,Species,Direction,Cover.Class,Notes
218,Buckthorn,N,0,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
139,Buckthorn,N,0,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
136,Buckthorn,N,0,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
861,Buckthorn,N,0,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,1,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
137,Buckthorn,N,1,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
221,Buckthorn,N,0,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
2,Buckthorn,N,1,
,Multiflora rose,N,1,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,1,
,Honeysuckle,S,1,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
134,Buckthorn,N,1,
,Multiflora rose,N,0,
,Honeysuckle,N,1,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
11,Buckthorn,N,1,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
155,Buckthorn,N,1,
,Multiflora rose,N,1,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
6,Buckthorn,N,1,
,Multiflora rose,N,1,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
220,Buckthorn,N,0,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,1,
,Mapleleaf Viburnum,S,0,
5,Buckthorn,N,1,
,Multiflora rose,N,1,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,1,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,0,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
10,Buckthorn,N,1,
,Multiflora rose,N,1,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
157,Buckthorn,N,0,
,Multiflora rose,N,1,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,1,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,1,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,1,
,Mapleleaf Viburnum,S,0,
78,Buckthorn,N,1,
,Multiflora rose,N,0,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,0,
,Rubus,N,1,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,0,
,Honeysuckle,S,0,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,1,
,Mapleleaf Viburnum,S,0,
12,Buckthorn,N,1,
,Multiflora rose,N,1,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,1,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,0,
,Honeysuckle,S,1,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
156,Buckthorn,N,1,
,Multiflora rose,N,1,
,Honeysuckle,N,0,
,Privot,N,0,
,Spicebush,N,1,
,Rubus,N,0,
,Mapleleaf Viburnum,N,0,
,Buckthorn,S,1,
,Multiflora rose,S,1,
,Honeysuckle,S,1,
,Privot,S,0,
,Spicebush,S,0,
,Rubus,S,0,
,Mapleleaf Viburnum,S,0,
17,Buckthorn,N,1,
17,Multiflora rose,N,1,
17,Honeysuckle,N,0,
17,Privot,N,0,
17,Spicebush,N,0,
17,Rubus,N,1,
17,Mapleleaf Viburnum,N,0,
17,Buckthorn,S,1,
17,Multiflora rose,S,1,
17,Honeysuckle,S,0,
17,Privot,S,0,
17,Spicebush,S,0,
17,Rubus,S,0,
17,Mapleleaf Viburnum,S,0,
154,Buckthorn,N,1,
154,Multiflora rose,N,1,
154,Honeysuckle,N,0,
154,Privot,N,0,
154,Spicebush,N,0,
154,Rubus,N,1,
154,Mapleleaf Viburnum,N,0,
154,Buckthorn,S,1,
154,Multiflora rose,S,1,
154,Honeysuckle,S,0,
154,Privot,S,0,
154,Spicebush,S,0,
154,Rubus,S,0,
154,Mapleleaf Viburnum,S,0,
124,Buckthorn,N,0,
124,Multiflora rose,N,1,
124,Honeysuckle,N,0,
124,Privot,N,0,
124,Spicebush,N,0,
124,Rubus,N,1,
124,Mapleleaf Viburnum,N,0,
124,Buckthorn,S,1,
124,Multiflora rose,S,3,
124,Honeysuckle,S,1,
124,Privot,S,1,
124,Spicebush,S,0,
124,Rubus,S,1,
124,Mapleleaf Viburnum,S,0,
363,Buckthorn,N,0,
363,Multiflora rose,N,1,
363,Honeysuckle,N,0,
363,Privot,N,0,
363,Spicebush,N,0,
363,Rubus,N,0,
363,Mapleleaf Viburnum,N,0,
363,Buckthorn,S,0,
363,Multiflora rose,S,0,
363,Honeysuckle,S,0,
363,Privot,S,0,
363,Spicebush,S,0,
363,Rubus,S,0,
363,Mapleleaf Viburnum,S,0,
284,Buckthorn,N,0,
284,Multiflora rose,N,0,
284,Honeysuckle,N,0,
284,Privot,N,0,
284,Spicebush,N,0,
284,Rubus,N,0,
284,Mapleleaf Viburnum,N,0,
284,Buckthorn,S,1,
284,Multiflora rose,S,0,
284,Honeysuckle,S,0,
284,Privot,S,0,
284,Spicebush,S,0,
284,Rubus,S,0,
284,Mapleleaf Viburnum,S,0,
372,Buckthorn,N,1,
372,Multiflora rose,N,0,
372,Honeysuckle,N,0,
372,Privot,N,0,
372,Spicebush,N,0,
372,Rubus,N,1,
372,Mapleleaf Viburnum,N,0,
372,Buckthorn,S,1,
372,Multiflora rose,S,0,
372,Honeysuckle,S,0,
372,Privot,S,0,
372,Spicebush,S,0,
372,Rubus,S,1,
372,Mapleleaf Viburnum,S,0,
368,Buckthorn,N,0,
368,Multiflora rose,N,0,
368,Honeysuckle,N,0,
368,Privot,N,0,
368,Spicebush,N,0,
368,Rubus,N,0,
368,Mapleleaf Viburnum,N,0,
368,Buckthorn,S,0,
368,Multiflora rose,S,0,
368,Honeysuckle,S,0,
368,Privot,S,0,
368,Spicebush,S,0,
368,Rubus,S,0,
368,Mapleleaf Viburnum,S,0,
191,Buckthorn,N,0,
191,Multiflora rose,N,0,
191,Honeysuckle,N,0,
191,Privot,N,0,
191,Spicebush,N,0,
191,Rubus,N,0,
191,Mapleleaf Viburnum,N,0,
191,Buckthorn,S,0,
191,Multiflora rose,S,0,
191,Honeysuckle,S,0,
191,Privot,S,0,
191,Spicebush,S,0,
191,Rubus,S,0,
191,Mapleleaf Viburnum,S,0,
349,Buckthorn,N,0,
349,Multiflora rose,N,1,
349,Honeysuckle,N,0,
349,Privot,N,0,
349,Spicebush,N,0,
349,Rubus,N,0,
349,Mapleleaf Viburnum,N,0,
349,Buckthorn,S,0,
349,Multiflora rose,S,0,
349,Honeysuckle,S,0,
349,Privot,S,0,
349,Spicebush,S,0,
349,Rubus,S,0,
349,Mapleleaf Viburnum,S,1,
365,Buckthorn,N,0,
365,Multiflora rose,N,0,
365,Honeysuckle,N,0,
365,Privot,N,0,
365,Spicebush,N,0,
365,Rubus,N,0,
365,Mapleleaf Viburnum,N,0,
365,Buckthorn,S,0,
365,Multiflora rose,S,0,
365,Honeysuckle,S,0,
365,Privot,S,0,
365,Spicebush,S,0,
365,Rubus,S,0,
365,Mapleleaf Viburnum,S,0,
196,Buckthorn,N,0,
196,Multiflora rose,N,0,
196,Honeysuckle,N,0,
196,Privot,N,0,
196,Spicebush,N,0,
196,Rubus,N,0,
196,Mapleleaf Viburnum,N,0,
196,Buckthorn,S,0,
196,Multiflora rose,S,0,
196,Honeysuckle,S,0,
196,Privot,S,0,
196,Spicebush,S,0,
196,Rubus,S,0,
196,Mapleleaf Viburnum,S,0,
188,Buckthorn,N,1,
188,Multiflora rose,N,1,
188,Honeysuckle,N,0,
188,Privot,N,0,
188,Spicebush,N,0,
188,Rubus,N,0,
188,Mapleleaf Viburnum,N,0,
188,Buckthorn,S,0,
188,Multiflora rose,S,1,
188,Honeysuckle,S,0,
188,Privot,S,0,
188,Spicebush,S,0,
188,Rubus,S,0,
188,Mapleleaf Viburnum,S,0,
364,Buckthorn,N,0,
364,Multiflora rose,N,0,
364,Honeysuckle,N,0,
364,Privot,N,0,
364,Spicebush,N,0,
364,Rubus,N,0,
364,Mapleleaf Viburnum,N,0,
364,Buckthorn,S,0,
364,Multiflora rose,S,0,
364,Honeysuckle,S,0,
364,Privot,S,0,
364,Spicebush,S,0,
364,Rubus,S,0,
364,Mapleleaf Viburnum,S,1,
882,Buckthorn,N,1,
882,Multiflora rose,N,0,
882,Honeysuckle,N,0,
882,Privot,N,0,
882,Spicebush,N,0,
882,Rubus,N,1,
882,Mapleleaf Viburnum,N,0,
882,Buckthorn,S,1,
882,Multiflora rose,S,0,
882,Honeysuckle,S,0,
882,Privot,S,0,
882,Spicebush,S,0,
882,Rubus,S,1,
882,Mapleleaf Viburnum,S,0,
256,Buckthorn,N,0,
256,Multiflora rose,N,0,
256,Honeysuckle,N,0,
256,Privot,N,0,
256,Spicebush,N,0,
256,Rubus,N,0,
256,Mapleleaf Viburnum,N,0,
256,Buckthorn,S,0,
256,Multiflora rose,S,0,
256,Honeysuckle,S,0,
256,Privot,S,0,
256,Spicebush,S,0,
256,Rubus,S,0,
256,Mapleleaf Viburnum,S,0,
889,Buckthorn,N,1,
889,Multiflora rose,N,0,
889,Honeysuckle,N,0,
889,Privot,N,0,
889,Spicebush,N,0,
889,Rubus,N,0,
889,Mapleleaf Viburnum,N,0,
889,Buckthorn,S,1,
889,Multiflora rose,S,0,
889,Honeysuckle,S,0,
889,Privot,S,0,
889,Spicebush,S,0,
889,Rubus,S,0,
889,Mapleleaf Viburnum,S,0,
369,Buckthorn,N,0,
369,Multiflora rose,N,0,
369,Honeysuckle,N,0,
369,Privot,N,0,
369,Spicebush,N,0,
369,Rubus,N,0,
369,Mapleleaf Viburnum,N,0,
369,Buckthorn,S,0,
369,Multiflora rose,S,0,
369,Honeysuckle,S,0,
369,Privot,S,0,
369,Spicebush,S,0,
369,Rubus,S,0,
369,Mapleleaf Viburnum,S,0,
886,Buckthorn,N,0,
886,Multiflora rose,N,0,
886,Honeysuckle,N,0,
886,Privot,N,0,
886,Spicebush,N,0,
886,Rubus,N,0,
886,Mapleleaf Viburnum,N,1,
886,Buckthorn,S,0,
886,Multiflora rose,S,0,
886,Honeysuckle,S,0,
886,Privot,S,0,
886,Spicebush,S,0,
886,Rubus,S,0,
886,Mapleleaf Viburnum,S,0,
396,Buckthorn,N,0,
396,Multiflora rose,N,0,
396,Honeysuckle,N,0,
396,Privot,N,0,
396,Spicebush,N,0,
396,Rubus,N,0,
396,Mapleleaf Viburnum,N,0,
396,Buckthorn,S,0,
396,Multiflora rose,S,1,
396,Honeysuckle,S,0,
396,Privot,S,0,
396,Spicebush,S,0,
396,Rubus,S,0,
396,Mapleleaf Viburnum,S,0,
366,Buckthorn,N,0,
366,Multiflora rose,N,0,
366,Honeysuckle,N,0,
366,Privot,N,0,
366,Spicebush,N,0,
366,Rubus,N,0,
366,Mapleleaf Viburnum,N,0,
366,Buckthorn,S,0,
366,Multiflora rose,S,0,
366,Honeysuckle,S,0,
366,Privot,S,0,
366,Spicebush,S,0,
366,Rubus,S,1,
366,Mapleleaf Viburnum,S,0,
891,Buckthorn,N,1,
891,Multiflora rose,N,0,
891,Honeysuckle,N,0,
891,Privot,N,0,
891,Spicebush,N,1,
891,Rubus,N,0,
891,Mapleleaf Viburnum,N,0,
891,Buckthorn,S,1,
891,Multiflora rose,S,0,
891,Honeysuckle,S,0,
891,Privot,S,0,
891,Spicebush,S,0,
891,Rubus,S,1,
891,Mapleleaf Viburnum,S,0,
890,Buckthorn,N,1,
890,Multiflora rose,N,0,
890,Honeysuckle,N,0,
890,Privot,N,0,
890,Spicebush,N,0,
890,Rubus,N,0,
890,Mapleleaf Viburnum,N,0,
890,Buckthorn,S,1,
890,Multiflora rose,S,0,
890,Honeysuckle,S,0,
890,Privot,S,0,
890,Spicebush,S,0,
890,Rubus,S,1,
890,Mapleleaf Viburnum,S,0,
367,Buckthorn,N,0,
367,Multiflora rose,N,0,
367,Honeysuckle,N,0,
367,Privot,N,0,
367,Spicebush,N,0,
367,Rubus,N,0,
367,Mapleleaf Viburnum,N,0,
367,Buckthorn,S,0,
367,Multiflora rose,S,0,
367,Honeysuckle,S,0,
367,Privot,S,0,
367,Spicebush,S,0,
367,Rubus,S,0,
367,Mapleleaf Viburnum,S,0,
397,Buckthorn,N,0,
397,Multiflora rose,N,0,
397,Honeysuckle,N,0,
397,Privot,N,0,
397,Spicebush,N,0,
397,Rubus,N,1,
397,Mapleleaf Viburnum,N,0,
397,Buckthorn,S,0,
397,Multiflora rose,S,0,
397,Honeysuckle,S,0,
397,Privot,S,0,
397,Spicebush,S,0,
397,Rubus,S,0,
397,Mapleleaf Viburnum,S,0,
190,Buckthorn,N,0,
190,Multiflora rose,N,0,
190,Honeysuckle,N,0,
190,Privot,N,0,
190,Spicebush,N,0,
190,Rubus,N,0,
190,Mapleleaf Viburnum,N,0,
190,Buckthorn,S,0,
190,Multiflora rose,S,0,
190,Honeysuckle,S,0,
190,Privot,S,0,
190,Spicebush,S,0,
190,Rubus,S,0,
190,Mapleleaf Viburnum,S,1,
331,Buckthorn,N,0,
331,Multiflora rose,N,1,
331,Honeysuckle,N,0,
331,Privot,N,0,
331,Spicebush,N,0,
331,Rubus,N,0,
331,Mapleleaf Viburnum,N,0,
331,Buckthorn,S,1,
331,Multiflora rose,S,1,
331,Honeysuckle,S,0,
331,Privot,S,0,
331,Spicebush,S,0,
331,Rubus,S,0,
331,Mapleleaf Viburnum,S,0,
897,Buckthorn,N,1,
897,Multiflora rose,N,0,
897,Honeysuckle,N,0,
897,Privot,N,0,
897,Spicebush,N,0,
897,Rubus,N,0,
897,Mapleleaf Viburnum,N,0,
897,Buckthorn,S,1,
897,Multiflora rose,S,1,
897,Honeysuckle,S,0,
897,Privot,S,0,
897,Spicebush,S,0,
897,Rubus,S,0,
897,Mapleleaf Viburnum,S,0,
333,Buckthorn,N,1,
333,Multiflora rose,N,0,
333,Honeysuckle,N,0,
333,Privot,N,0,
333,Spicebush,N,0,
333,Rubus,N,0,
333,Mapleleaf Viburnum,N,0,
333,Buckthorn,S,1,
333,Multiflora rose,S,0,
333,Honeysuckle,S,0,
333,Privot,S,0,
333,Spicebush,S,0,
333,Rubus,S,0,
333,Mapleleaf Viburnum,S,0,
340,Buckthorn,N,0,
340,Multiflora rose,N,1,
340,Honeysuckle,N,0,
340,Privot,N,0,
340,Spicebush,N,0,
340,Rubus,N,0,
340,Mapleleaf Viburnum,N,0,
340,Buckthorn,S,0,
340,Multiflora rose,S,0,
340,Honeysuckle,S,0,
340,Privot,S,0,
340,Spicebush,S,0,
340,Rubus,S,0,
340,Mapleleaf Viburnum,S,0,
996,Buckthorn,N,0,
996,Multiflora rose,N,0,
996,Honeysuckle,N,0,
996,Privot,N,0,
996,Spicebush,N,0,
996,Rubus,N,0,
996,Mapleleaf Viburnum,N,0,
996,Buckthorn,S,0,
996,Multiflora rose,S,0,
996,Honeysuckle,S,0,
996,Privot,S,0,
996,Spicebush,S,0,
996,Rubus,S,0,
996,Mapleleaf Viburnum,S,0,
380,Buckthorn,N,1,
380,Multiflora rose,N,1,
380,Honeysuckle,N,0,
380,Privot,N,0,
380,Spicebush,N,0,
380,Rubus,N,0,
380,Mapleleaf Viburnum,N,0,
380,Buckthorn,S,0,
380,Multiflora rose,S,0,
380,Honeysuckle,S,0,
380,Privot,S,0,
380,Spicebush,S,0,
380,Rubus,S,0,
380,Mapleleaf Viburnum,S,0,
381,Buckthorn,N,1,
381,Multiflora rose,N,2,
381,Honeysuckle,N,0,
381,Privot,N,0,
381,Spicebush,N,0,
381,Rubus,N,0,
381,Mapleleaf Viburnum,N,0,
381,Buckthorn,S,1,
381,Multiflora rose,S,1,
381,Honeysuckle,S,1,
381,Privot,S,0,
381,Spicebush,S,0,
381,Rubus,S,1,
381,Mapleleaf Viburnum,S,0,
185,Buckthorn,N,0,
185,Multiflora rose,N,0,
185,Honeysuckle,N,0,
185,Privot,N,0,
185,Spicebush,N,0,
185,Rubus,N,0,
185,Mapleleaf Viburnum,N,0,
185,Buckthorn,S,0,
185,Multiflora rose,S,0,
185,Honeysuckle,S,0,
185,Privot,S,0,
185,Spicebush,S,0,
185,Rubus,S,0,
185,Mapleleaf Viburnum,S,0,
338,Buckthorn,N,0,
338,Multiflora rose,N,0,
338,Honeysuckle,N,0,
338,Privot,N,0,
338,Spicebush,N,0,
338,Rubus,N,1,
338,Mapleleaf Viburnum,N,0,
338,Buckthorn,S,0,
338,Multiflora rose,S,0,
338,Honeysuckle,S,0,
338,Privot,S,0,
338,Spicebush,S,0,
338,Rubus,S,0,
338,Mapleleaf Viburnum,S,0,
291,Buckthorn,N,0,
291,Multiflora rose,N,0,
291,Honeysuckle,N,0,
291,Privot,N,0,
291,Spicebush,N,0,
291,Rubus,N,0,
291,Mapleleaf Viburnum,N,0,
291,Buckthorn,S,0,
291,Multiflora rose,S,0,
291,Honeysuckle,S,0,
291,Privot,S,0,
291,Spicebush,S,0,
291,Rubus,S,0,
291,Mapleleaf Viburnum,S,0,
326,Buckthorn,N,0,
326,Multiflora rose,N,1,
326,Honeysuckle,N,0,
326,Privot,N,0,
326,Spicebush,N,0,
326,Rubus,N,0,
326,Mapleleaf Viburnum,N,0,
326,Buckthorn,S,0,
326,Multiflora rose,S,0,
326,Honeysuckle,S,0,
326,Privot,S,0,
326,Spicebush,S,0,
326,Rubus,S,0,
326,Mapleleaf Viburnum,S,0,
195,Buckthorn,N,0,
195,Multiflora rose,N,1,
195,Honeysuckle,N,0,
195,Privot,N,0,
195,Spicebush,N,0,
195,Rubus,N,1,
195,Mapleleaf Viburnum,N,0,
195,Buckthorn,S,0,
195,Multiflora rose,S,1,
195,Honeysuckle,S,0,
195,Privot,S,0,
195,Spicebush,S,0,
195,Rubus,S,0,
195,Mapleleaf Viburnum,S,0,
192,Buckthorn,N,0,
192,Multiflora rose,N,0,
192,Honeysuckle,N,0,
192,Privot,N,0,
192,Spicebush,N,0,
192,Rubus,N,0,
192,Mapleleaf Viburnum,N,0,
192,Buckthorn,S,0,
192,Multiflora rose,S,0,
192,Honeysuckle,S,0,
192,Privot,S,0,
192,Spicebush,S,0,
192,Rubus,S,0,
192,Mapleleaf Viburnum,S,0,
337,Buckthorn,N,0,
337,Multiflora rose,N,1,
337,Honeysuckle,N,0,
337,Privot,N,0,
337,Spicebush,N,0,
337,Rubus,N,1,
337,Mapleleaf Viburnum,N,1,
337,Buckthorn,S,0,
337,Multiflora rose,S,1,
337,Honeysuckle,S,0,
337,Privot,S,0,
337,Spicebush,S,0,
337,Rubus,S,1,
337,Mapleleaf Viburnum,S,0,
378,Buckthorn,N,0,
378,Multiflora rose,N,1,
378,Honeysuckle,N,1,
378,Privot,N,0,
378,Spicebush,N,0,
378,Rubus,N,1,
378,Mapleleaf Viburnum,N,0,
378,Buckthorn,S,0,
378,Multiflora rose,S,1,
378,Honeysuckle,S,0,
378,Privot,S,0,
378,Spicebush,S,0,
378,Rubus,S,1,
378,Mapleleaf Viburnum,S,0,
335,Buckthorn,N,0,
335,Multiflora rose,N,1,
335,Honeysuckle,N,0,
335,Privot,N,0,
335,Spicebush,N,0,
335,Rubus,N,0,
335,Mapleleaf Viburnum,N,0,
335,Buckthorn,S,0,
335,Multiflora rose,S,1,
335,Honeysuckle,S,0,
335,Privot,S,0,
335,Spicebush,S,0,
335,Rubus,S,1,
335,Mapleleaf Viburnum,S,0,
325,Buckthorn,N,0,
325,Multiflora rose,N,1,
325,Honeysuckle,N,0,
325,Privot,N,0,
325,Spicebush,N,0,
325,Rubus,N,1,
325,Mapleleaf Viburnum,N,0,
325,Buckthorn,S,0,
325,Multiflora rose,S,1,
325,Honeysuckle,S,0,
325,Privot,S,1,
325,Spicebush,S,0,
325,Rubus,S,0,
395,Mapleleaf Viburnum,S,0,
395,Buckthorn,N,0,
395,Multiflora rose,N,1,
395,Honeysuckle,N,0,
395,Privot,N,0,
395,Spicebush,N,0,
395,Rubus,N,0,
395,Mapleleaf Viburnum,N,0,
395,Buckthorn,S,0,
395,Multiflora rose,S,1,
395,Honeysuckle,S,0,
395,Privot,S,0,
395,Spicebush,S,0,
395,Rubus,S,0,
395,Mapleleaf Viburnum,S,0,
343,Buckthorn,N,1,
343,Multiflora rose,N,1,
343,Honeysuckle,N,0,
343,Privot,N,0,
343,Spicebush,N,0,
343,Rubus,N,1,
343,Mapleleaf Viburnum,N,0,
343,Buckthorn,S,0,
