Tree,Direction,Species,Cover Class
304,N,Buckthorn,1
304,S,Rose,1
303,N,Buckthorn,1
303,N,Lonicera,1
303,N,Rubus,1
303,S,Lonicera,1
303,S,Rubus,1
302,N,Lonicera,1
302,N,Rubus,1
302,N,Maple Vib,1
302,S,Lonicera,1
302,S,Rubus,1
301,N,Lonicera,1
301,N,Rubus,1
301,N,Maple Vib,1
301,S,Lonicera,1
301,S,Rubus,1
379,N,Buckthorn,1
379,N,Rose,1
379,N,Rubus,1
379,N,Maple Vib,1
379,S,Buckthorn,1
379,S,Rubus,1
383,N,Buckthorn,1
383,N,Rose,1
383,N,Lonicera,1
383,N,Lindera,1
383,S,Buckthorn,1
383,S,Rose,1
383,S,Lonicera,1
382,N,Buckthorn,1
382,N,Lonicera,1
382,S,Buckthorn,1
382,S,Rose,1
382,S,Lindera,1
392,S,Buckthorn,1
305,S,Buckthorn,1
306,S,Buckthorn,1
375,N,Buckthorn,1
375,N,Rose,1
375,S,Buckthorn,1
375,S,Lonicera,1
254,N,Buckthorn,1
254,S,Rose,1
197,N,Buckthorn,1
197,S,Buckthorn,1
259,N,Buckthorn,1
259,S,Buckthorn,1
373,N,Rose,1
373,S,Rose,1
376,N,Buckthorn,1
376,N,Rubus,1
376,N,Maple Vib,1
376,S,Buckthorn,1
374,N,Buckthorn,1
374,N,Rose,1
374,N,Rubus,1
374,S,Buckthorn,1
374,S,Rose,1
882,N,Buckthorn,1
882,N,Rose,1
882,N,Rubus,1
882,S,Buckthorn,1
882,S,Rose,1
196,N,Buckthorn,1
196,N,Rose,1
196,S,Buckthorn,1
196,S,Maple Vib,1
261,N,Maple Vib,1
886,N,Maple Vib,1
191,N,Maple Vib,1
191,S,Buckthorn,1
190,N,Buckthorn,1
190,S,Buckthorn,1
190,S,Maple Vib,1
890,N,Buckthorn,1
890,S,Buckthorn,1
890,S,Maple Vib,1
397,S,Buckthorn,1
396,N,Buckthorn,1
396,N,Rose,1
396,N,Lindera,1
396,S,Buckthorn,1
396,S,Rose,1
296,N,Buckthorn,1
296,N,Lindera,1
296,S,Buckthorn,1
296,S,Rose,1
891,N,Buckthorn,1
891,N,Lindera,1
891,S,Buckthorn,1
891,S,Rose,1
256,N,Buckthorn,1
270,S,Lindera,1
187,N,Buckthorn,1
187,N,Rose,1
187,S,Rose,1
260,N,Buckthorn,1
260,S,Rose,1
398,N,Maple Vib,1
398,S,Lonicera,1
398,S,Maple Vib,1
200,N,Lindera,1
200,S,Maple Vib,1
269,N,Maple Vib,1
269,S,Maple Vib,1
309,N,Buckthorn,1
309,S,Buckthorn,1
969,N,Buckthorn,1
308,N,Buckthorn,1
308,N,Rubus,1
308,S,Buckthorn,1
308,S,Rose,1
308,S,Privet,1
308,S,Rubus,1
395,N,Privet,1
395,N,Maple Vib,1
395,S,Buckthorn,1
395,S,Maple Vib,1
883,N,Buckthorn,1
883,N,Privet,1
883,N,Lonicera,1
883,S,Buckthorn,1
883,S,Rose,1
883,S,Lonicera,1
999,N,Buckthorn,1
999,N,Rose,1
999,N,Lonicera,1
999,N,Rubus,1
999,N,Maple Vib,1
999,S,Buckthorn,1
999,S,Rose,1
999,S,Privet,1
999,S,Maple Vib,1
143,N,Buckthorn,1
143,N,Rose,1
143,N,Privet,1
143,N,Lonicera,1
143,N,Rubus,1
143,N,Maple Vib,1
143,S,Buckthorn,1
102,N,Buckthorn,1
102,N,Lonicera,1
102,N,Rubus,1
102,N,Maple Vib,1
102,S,Buckthorn,1
102,S,Rubus,1
105,N,Buckthorn,1
105,N,Lonicera,1
105,N,Lindera,1
105,S,Buckthorn,1
105,S,Rubus,1
189,N,Buckthorn,1
189,S,Buckthorn,1
258,N,Buckthorn,1
258,S,Buckthorn,1
288,N,Maple Vib,1
288,S,Buckthorn,1
399,N,Lonicera,1
399,N,Lindera,1
372,S,Rose,1
199,S,Buckthorn,1
894,N,Maple Vib,1
894,S,Privet,1
894,S,Lonicera,1
371,N,Lonicera,1
371,S,Rose,1
371,S,Lonicera,1
371,S,Maple Vib,1
253,N,Buckthorn,1
253,N,Maple Vib,1
253,S,Buckthorn,1
253,S,Rose,1
253,S,Lonicera,1
253,S,Maple Vib,1
272,N,Buckthorn,1
272,N,Lonicera,1
272,N,Rubus,1
272,N,Maple Vib,1
272,S,Rose,1
272,S,Lonicera,1
272,S,Rubus,1
272,S,Maple Vib,1
293,N,Buckthorn,1
293,N,Rubus,1
293,S,Buckthorn,1
299,N,Rubus,1
299,S,Buckthorn,1
299,S,Rose,1
299,S,Rubus,1
257,N,Buckthorn,1
257,N,Rose,1
257,S,Buckthorn,1
257,S,Rose,1
188,N,Buckthorn,1
188,N,Rose,1
188,S,Buckthorn,1
188,S,Rose,1
346,N,Buckthorn,1
346,N,Privet,1
346,S,Buckthorn,1
346,S,Privet,1
864,N,Buckthorn,1
864,N,Rose,1
864,S,Buckthorn,1
300,N,Rose,1
300,S,Buckthorn,1
300,S,Privet,1
300,S,Rubus,1
198,N,Buckthorn,1
198,N,Privet,1
198,N,Lonicera,1
198,S,Buckthorn,1
198,S,Rose,1
198,S,Lonicera,1
297,S,Buckthorn,1
898,N,Rose,1
898,S,Buckthorn,1
898,S,Privet,1
885,N,Rose,1
885,N,Lonicera,1
885,S,Buckthorn,1
74,N,Buckthorn,1
74,N,Privet,1
74,N,Rubus,1
74,S,Buckthorn,1
74,S,Privet,1
74,S,Rubus,1
74,S,Lindera,1
252,S,Buckthorn,1
252,S,Lonicera,1
252,S,Maple Vib,1
400,N,Buckthorn,1
400,N,Privet,1
400,N,Rubus,1
400,S,Buckthorn,1
893,N,Buckthorn,1
893,N,Rose,1
893,S,Buckthorn,1
893,S,Lonicera,1
892,N,Buckthorn,1
892,N,Maple Vib,1
892,S,Privet,1
892,S,Maple Vib,1
77,N,Rose,1
77,N,Rubus,1
77,N,Lindera,1
77,S,Buckthorn,1
77,S,Rose,1
77,S,Rubus,1
77,S,Lindera,1
66,N,Rose,1
66,N,Lindera,1
66,N,Maple Vib,1
66,S,Rose,1
66,S,Lonicera,1
67,N,Buckthorn,1
67,N,Rose,1
67,N,Rubus,1
67,N,Lindera,1
67,S,Rubus,1
75,N,Lonicera,1
75,N,Rubus,1
75,S,Buckthorn,1
75,S,Rose,1
75,S,Lonicera,1
75,S,Rubus,1
72,N,Buckthorn,1
72,N,Rose,1
72,N,Lindera,1
72,S,Buckthorn,1
72,S,Lonicera,1
72,S,Rubus,1
72,S,Maple Vib,1
68,N,Buckthorn,1
68,N,Rose,1
68,N,Rubus,1
68,N,Lindera,1
68,S,Buckthorn,1
68,S,Rose,1
68,S,Rubus,1
31,N,Buckthorn,1
31,N,Privet,1
31,N,Rubus,1
31,S,Buckthorn,1
31,S,Rose,1
31,S,Rubus,1
24,N,Rose,1
24,S,Rose,1
24,S,Rubus,1
26,N,Buckthorn,1
26,N,Rose,1
26,N,Lonicera,1
26,N,Maple Vib,1
26,S,Buckthorn,1
26,S,Rose,1
26,S,Privet,1
26,S,Rubus,1
26,S,Lindera,1
30,N,Buckthorn,1
30,N,Privet,1
30,N,Rubus,1
30,N,Lindera,1
30,S,Lonicera,1
30,S,Rubus,1
42,N,Rubus,1
42,S,Buckthorn,1
42,S,Rubus,1
41,N,Rubus,1
41,S,Buckthorn,1
41,S,Lonicera,1
41,S,Rubus,1
93,N,Buckthorn,1
93,N,Rose,1
93,N,Rubus,1
93,N,Maple Vib,1
93,S,Buckthorn,1
99,N,Buckthorn,1
99,N,Rose,1
99,N,Rubus,1
99,S,Buckthorn,1
99,S,Rubus,1
97,N,Buckthorn,1
97,N,Rose,1
97,S,Buckthorn,1
92,N,Buckthorn,1
92,N,Rubus,1
92,S,Buckthorn,1
92,S,Rose,1
92,S,Rubus,1
900,N,Buckthorn,1
900,N,Rubus,1
900,S,Buckthorn,1
900,S,Rubus,1
88,N,Buckthorn,1
88,N,Rubus,1
88,S,Buckthorn,1
88,S,Rubus,1
3,N,Buckthorn,1
3,S,Buckthorn,1
3,S,Rose,1
3,S,Rubus,1
21,N,Buckthorn,1
21,S,Buckthorn,1
21,S,Rose,1
132,S,Lindera,1
9,N,Buckthorn,1
9,S,Buckthorn,1
9,S,Lonicera,1
176,N,Buckthorn,1
176,N,Rubus,1
176,S,Buckthorn,1
14,N,Lonicera,1
138,N,Buckthorn,1
138,N,Rose,1
138,N,Rubus,1
138,S,Buckthorn,1
138,S,Rose,1
138,S,Privet,1
201,N,Buckthorn,1
201,N,Maple Vib,1
202,N,Buckthorn,1
139,N,Rose,1
140,N,Rose,1
134,S,Rose,1
126,N,Buckthorn,1
126,S,Buckthorn,1
126,S,Rose,1
127,N,Buckthorn,1
127,N,Rose,1
127,S,Buckthorn,1
137,N,Buckthorn,1
137,N,Rose,1
137,S,Rose,1
861,S,Rose,1
130,N,Buckthorn,1
130,S,Buckthorn,1
128,N,Buckthorn,1
128,N,Lonicera,1
128,S,Buckthorn,1
128,S,Rose,1
128,S,Lonicera,1
131,N,Rose,1
131,N,Rubus,1
131,S,Rubus,1
129,N,Buckthorn,1
129,N,Rose,1
129,N,Lonicera,1
129,N,Rubus,1
129,S,Rubus,1
2,N,Buckthorn,1
2,N,Rose,1
2,S,Buckthorn,1
2,S,Rose,1
7,N,Buckthorn,1
7,N,Rose,1
7,N,Lonicera,1
7,S,Buckthorn,1
7,S,Rubus,1
17,N,Buckthorn,1
17,N,Rose,1
17,N,Lonicera,1
17,S,Buckthorn,1
17,S,Rose,1
17,S,Lonicera,1
17,S,Lindera,1
12,N,Buckthorn,1
12,N,Rose,1
12,N,Lonicera,1
12,S,Buckthorn,1
12,S,Rose,1
23,N,Buckthorn,1
23,N,Rose,1
23,N,Rubus,1
23,S,Buckthorn,1
23,S,Rose,1
166,N,Buckthorn,1
166,N,Rose,1
166,S,Buckthorn,1
166,S,Rose,1
166,S,Lonicera,1
857,N,Buckthorn,1
857,N,Rubus,1
857,S,Rose,1
1,N,Privet,1
1,S,Buckthorn,1
1,S,Rose,1
1,S,Rubus,1
141,N,Buckthorn,1
141,S,Privet,1
390,N,Rubus,1
390,S,Lonicera,1
390,S,Lindera,1
177,N,Buckthorn,1
177,S,Buckthorn,1
344,N,Buckthorn,1
344,N,Lindera,1
344,S,Buckthorn,1
344,S,Rose,1
386,N,Buckthorn,1
386,N,Rose,1
386,S,Buckthorn,1
387,N,Buckthorn,1
387,N,Rubus,1
387,S,Privet,1
387,S,Lonicera,1
387,S,Rubus,1
182,N,Buckthorn,1
182,S,Buckthorn,1
182,S,Rose,1
182,S,Lonicera,1
181,N,Buckthorn,1
181,N,Rubus,1
181,S,Buckthorn,1
181,S,Rubus,1
385,N,Buckthorn,1
385,S,Buckthorn,1
385,S,Lonicera,1
385,S,Rubus,1
180,N,Buckthorn,1
180,N,Rubus,1
180,S,Buckthorn,1
180,S,Rose,1
180,S,Rubus,1
175,N,Buckthorn,1
175,S,Buckthorn,1
175,S,Rose,1
175,S,Rubus,1
384,N,Lonicera,1
384,S,Privet,1
384,S,Rubus,1
384,S,Lindera,1
940,N,Buckthorn,1
940,N,Rose,1
940,S,Buckthorn,1
33,N,Rose,1
33,N,Rubus,1
33,N,Lindera,1
33,S,Buckthorn,1
33,S,Rose,1
29,N,Buckthorn,1
29,N,Rose,1
29,S,Buckthorn,1
29,S,Rose,1
32,N,Buckthorn,1
32,N,Lonicera,1
32,N,Lindera,1
32,S,Buckthorn,1
32,S,Rose,1
36,N,Buckthorn,1
36,N,Rose,1
36,N,Rubus,1
36,N,Lindera,1
36,S,Buckthorn,1
36,S,Rose,1
37,N,Buckthorn,1
37,N,Rose,1
37,N,Rubus,1
37,S,Privet,1
37,S,Maple Vib,1
34,N,Rose,1
34,N,Lonicera,1
34,N,Rubus,1
34,N,Lindera,1
34,N,Maple Vib,1
34,S,Buckthorn,1
34,S,Rubus,1
28,N,Buckthorn,1
28,N,Rose,1
28,N,Rubus,1
28,S,Buckthorn,1
28,S,Rubus,1
28,S,Lindera,1
51,N,Buckthorn,1
51,N,Rose,1
51,N,Lindera,1
51,S,Buckthorn,1
51,S,Rose,1
51,S,Lonicera,1
51,S,Lindera,1
45,N,Buckthorn,1
45,N,Rubus,1
45,S,Lonicera,1
45,S,Rubus,1
45,S,Lindera,1
47,N,Buckthorn,1
47,N,Rose,1
47,N,Rubus,1
47,N,Lindera,1
47,S,Buckthorn,1
47,S,Rubus,1
48,N,Rose,1
48,S,Buckthorn,1
48,S,Rose,1
48,S,Rubus,1
48,S,Lindera,1
49,S,Rose,1
49,S,Lindera,1
61,N,Buckthorn,1
61,N,Rose,1
61,N,Privet,1
61,N,Rubus,1
61,S,Buckthorn,1
58,N,Rose,1
58,N,Privet,1
58,S,Rubus,1
58,S,Lindera,1
57,N,Buckthorn,1
57,N,Rose,1
57,N,Lonicera,1
57,N,Rubus,1
57,S,Buckthorn,1
57,S,Lindera,1
62,N,Rose,1
62,S,Buckthorn,1
880,N,Rubus,1
880,S,Buckthorn,1
880,S,Rose,1
880,S,Rubus,1
69,N,Buckthorn,1
69,N,Rose,1
69,N,Rubus,1
69,S,Buckthorn,1
69,S,Rose,1
69,S,Rubus,1
70,N,Buckthorn,1
70,N,Rubus,1
70,N,Lindera,1
70,S,Buckthorn,1
70,S,Rose,1
70,S,Rubus,1
70,S,Lindera,1
64,N,Buckthorn,1
64,N,Rubus,1
64,N,Lindera,1
64,S,Buckthorn,1
64,S,Rose,1
64,S,Lindera,1
895,N,Buckthorn,1
895,N,Lonicera,1
895,S,Buckthorn,1
895,S,Rubus,1
111,N,Buckthorn,1
111,N,Rose,1
111,S,Rose,1
111,S,Privet,1
111,S,Rubus,1
135,N,Rubus,1
135,S,Buckthorn,1
859,N,Buckthorn,1
859,S,Buckthorn,1
90,N,Buckthorn,1
90,S,Buckthorn,1
91,N,Buckthorn,1
91,N,Rubus,1
91,S,Buckthorn,1
91,S,Rubus,1
85,N,Buckthorn,1
85,N,Rose,1
85,N,Lonicera,1
85,S,Lonicera,1
85,S,Rubus,1
87,N,Buckthorn,1
87,N,Rubus,1
87,S,Buckthorn,1
89,N,Lonicera,1
89,N,Maple Vib,1
89,S,Buckthorn,1
89,S,Rubus,1
81,N,Buckthorn,1
81,N,Maple Vib,1
81,S,Buckthorn,1
80,N,Buckthorn,1
80,S,Buckthorn,1
80,S,Maple Vib,1
86,N,Maple Vib,1
86,S,Buckthorn,1
86,S,Rose,1
86,S,Privet,1
86,S,Maple Vib,1
84,N,Buckthorn,1
84,N,Rubus,1
84,S,Buckthorn,1
84,S,Lonicera,1
83,N,Buckthorn,1
83,N,Rubus,1
83,S,Buckthorn,1
83,S,Rubus,1
82,N,Buckthorn,1
82,S,Buckthorn,1
123,N,Buckthorn,1
123,S,Rubus,1
124,N,Buckthorn,1
124,N,Rose,1
124,S,Rose,1
124,S,Privet,1
124,S,Rubus,1
117,N,Buckthorn,1
117,N,Lonicera,1
117,S,Buckthorn,1
117,S,Privet,1
117,S,Lonicera,1
133,N,Buckthorn,1
133,N,Lonicera,1
133,N,Rubus,1
133,S,Buckthorn,1
133,S,Lonicera,1
133,S,Rubus,1
121,N,Buckthorn,1
121,S,Buckthorn,1
121,S,Rubus,1
86,N,Buckthorn,1
86,N,Privet,1
86,N,Rubus,1
86,S,Buckthorn,1
86,S,Rubus,1
86,S,Maple Vib,1
110,N,Lonicera,1
110,S,Buckthorn,1
110,S,Rubus,1
109,N,Buckthorn,1
109,N,Lonicera,1
109,N,Rubus,1
109,S,Buckthorn,1
109,S,Lonicera,1
109,S,Rubus,1
95,N,Buckthorn,1
95,N,Lonicera,1
95,N,Rubus,1
95,S,Buckthorn,1
95,S,Rubus,1
95,S,Maple Vib,1
295,N,Maple Vib,1
881,N,Buckthorn,1
881,N,Rubus,1
881,S,Buckthorn,1
881,S,Lonicera,1
881,S,Rubus,1
884,N,Buckthorn,1
884,S,Buckthorn,1
73,N,Buckthorn,1
73,S,Buckthorn,1
73,S,Rose,1
73,S,Lonicera,1
79,N,Rubus,1
79,S,Buckthorn,1
113,N,Buckthorn,1
113,N,Lonicera,1
113,N,Rubus,1
113,S,Rubus,1
116,N,Buckthorn,1
116,N,Rubus,1
116,S,Buckthorn,1
116,S,Rubus,1
94,N,Buckthorn,1
94,S,Buckthorn,1
94,S,Rubus,1
94,S,Maple Vib,1
888,N,Rubus,1
888,S,Rose,1
122,N,Rose,1
122,N,Lonicera,1
122,N,Rubus,1
122,S,Buckthorn,1
122,S,Privet,1
122,S,Rubus,1
76,N,Buckthorn,1
76,N,Rubus,1
76,S,Buckthorn,1
184,N,Buckthorn,1
184,N,Rose,1
184,S,Rubus,1
179,N,Buckthorn,1
179,N,Lonicera,1
179,S,Buckthorn,1
179,S,Lonicera,1
183,N,Lonicera,1
183,N,Lindera,1
183,S,Buckthorn,1
186,N,Buckthorn,1
186,N,Rubus,1
186,S,Buckthorn,1
186,S,Lonicera,1
186,S,Rubus,1
186,S,Maple Vib,1
388,N,Rose,1
388,N,Rubus,1
388,S,Buckthorn,1
388,S,Rose,1
388,S,Rubus,1
194,N,Buckthorn,1
194,N,Rose,1
194,N,Privet,1
194,S,Buckthorn,1
194,S,Rose,1
194,S,Privet,1
98,N,Rose,1
98,N,Lonicera,1
98,N,Rubus,1
98,S,Buckthorn,1
98,S,Rose,1
98,S,Rubus,1
44,N,Buckthorn,1
44,N,Lonicera,1
44,N,Rubus,1
44,S,Rose,1
44,S,Rubus,1
874,N,Buckthorn,1
874,N,Rose,1
874,N,Lonicera,1
874,S,Rose,1
874,S,Privet,1
43,N,Privet,1
43,N,Lindera,1
43,S,Rubus,1
46,N,Buckthorn,1
46,N,Rose,1
46,N,Privet,1
46,S,Buckthorn,1
46,S,Rose,1
46,S,Privet,1
46,S,Rubus,1
46,S,Maple Vib,1
38,N,Buckthorn,1
38,N,Lonicera,1
38,S,Buckthorn,1
860,N,Rose,1
860,S,Buckthorn,1
860,S,Rose,1
39,N,Buckthorn,1
39,N,Rubus,1
39,S,Buckthorn,1
39,S,Rose,1
50,N,Buckthorn,1
50,N,Rubus,1
50,N,Lindera,1
50,N,Maple Vib,1
50,S,Buckthorn,1
50,S,Rubus,1
71,N,Rose,1
71,N,Rubus,1
71,S,Buckthorn,1
78,N,Buckthorn,1
78,N,Rubus,1
78,S,Buckthorn,1
78,S,Rose,1
389,N,Lonicera,1
389,N,Rubus,1
389,N,Maple Vib,1
389,S,Buckthorn,1
389,S,Rose,1
389,S,Rubus,1
22,N,Buckthorn,1
22,N,Rubus,1
22,S,Buckthorn,1
22,S,Rose,1
22,S,Lonicera,1
22,S,Rubus,1
22,S,Maple Vib,1
27,N,Buckthorn,1
27,N,Rose,1
