Tree,Species,Direction,Cover Class,,
327,Buckthorn,S,1,,
327,Multiflora rose,S,1,,
327,Honeysuckle,S,1,,
327,Privet,S,0,,
327,Spicebush,S,0,,
327,Rubus,S,1,,
327,Mapleleaf viburnum,S,0,,
187,Buckthorn,N,0,,
187,Multiflora rose,N,1,,
187,Honeysuckle,N,0,,
187,Privet,N,0,,
187,Spicebush,N,0,,
187,Rubus,N,0,,
187,Mapleleaf viburnum,N,0,,
187,Buckthorn,S,0,,
187,Multiflora rose,S,1,,
187,Honeysuckle,S,0,,
187,Privet,S,0,,
187,Spicebush,S,0,,
187,Rubus,S,0,,
187,Mapleleaf viburnum,S,0,,
408,Buckthorn,N,1,,
408,Multiflora rose,N,0,,
408,Honeysuckle,N,0,,
408,Privet,N,0,,
408,Spicebush,N,0,,
408,Rubus,N,0,,
408,Mapleleaf viburnum,N,0,,
408,Buckthorn,S,1,,
408,Multiflora rose,S,2,,
408,Honeysuckle,S,0,,
408,Privet,S,0,,
408,Spicebush,S,0,,
408,Rubus,S,0,,
408,Mapleleaf viburnum,S,1,,
80,Buckthorn,N,1,,
80,Multiflora rose,N,2,,
80,Honeysuckle,N,0,,
80,Privet,N,0,,
80,Spicebush,N,0,,
80,Rubus,N,1,,
80,Mapleleaf viburnum,N,0,,
80,Buckthorn,S,1,,
80,Multiflora rose,S,1,,
80,Honeysuckle,S,0,,
80,Privet,S,0,,
80,Spicebush,S,1,,
80,Rubus,S,1,,
80,Mapleleaf viburnum,S,0,,
69,Buckthorn,N,1,,
69,Multiflora rose,N,1,,
69,Honeysuckle,N,1,,
69,Privet,N,0,,
69,Spicebush,N,0,,
69,Rubus,N,1,,
69,Mapleleaf viburnum,N,0,,
69,Buckthorn,S,1,,
69,Multiflora rose,S,1,,
69,Honeysuckle,S,0,,
69,Privet,S,0,,
69,Spicebush,S,1,,
69,Rubus,S,1,,
69,Mapleleaf viburnum,S,0,,
200,Buckthorn,N,0,,
200,Multiflora rose,N,1,,
200,Honeysuckle,N,0,,
200,Privet,N,0,,
200,Spicebush,N,1,,
200,Rubus,N,0,,
200,Mapleleaf viburnum,N,0,,
200,Buckthorn,S,0,,
200,Multiflora rose,S,1,,
200,Honeysuckle,S,0,,
200,Privet,S,1,,
200,Spicebush,S,0,,
200,Rubus,S,0,,
200,Mapleleaf viburnum,S,0,,
270,Buckthorn,N,0,,
270,Multiflora rose,N,0,,
270,Honeysuckle,N,0,,
270,Privet,N,0,,
270,Spicebush,N,1,,
270,Rubus,N,0,,
270,Mapleleaf viburnum,N,0,,
270,Buckthorn,S,0,,
270,Multiflora rose,S,0,,
270,Honeysuckle,S,0,,
270,Privet,S,0,,
270,Spicebush,S,0,,
270,Rubus,S,0,,
270,Mapleleaf viburnum,S,0,,
48,Buckthorn,N,1,,
48,Multiflora rose,N,1,,
48,Honeysuckle,N,0,,
48,Privet,N,0,,
48,Spicebush,N,0,,
48,Rubus,N,1,,
48,Mapleleaf viburnum,N,0,,
48,Buckthorn,S,1,,
48,Multiflora rose,S,0,,
48,Honeysuckle,S,0,,
48,Privet,S,0,,
48,Spicebush,S,1,,
48,Rubus,S,1,,
48,Mapleleaf viburnum,S,0,,
405,Buckthorn,N,1,,
405,Multiflora rose,N,1,,
405,Honeysuckle,N,0,,
405,Privet,N,0,,
405,Spicebush,N,0,,
405,Rubus,N,0,,
405,Mapleleaf viburnum,N,0,,
405,Buckthorn,S,0,,
405,Multiflora rose,S,0,,
405,Honeysuckle,S,0,,
405,Privet,S,0,,
405,Spicebush,S,0,,
405,Rubus,S,0,,
405,Mapleleaf viburnum,S,1,,
47,Buckthorn,N,1,,
47,Multiflora rose,N,1,,
47,Honeysuckle,N,0,,
47,Privet,N,0,,
47,Spicebush,N,1,,
47,Rubus,N,1,,
47,Mapleleaf viburnum,N,0,,
47,Buckthorn,S,1,,
47,Multiflora rose,S,1,,
47,Honeysuckle,S,0,,
47,Privet,S,0,,
47,Spicebush,S,0,,
47,Rubus,S,1,,
47,Mapleleaf viburnum,S,0,,
406,Buckthorn,N,1,,
406,Multiflora rose,N,1,,
406,Honeysuckle,N,0,,
406,Privet,N,0,,
406,Spicebush,N,0,,
406,Rubus,N,0,,
406,Mapleleaf viburnum,N,1,,
406,Buckthorn,S,0,,
406,Multiflora rose,S,0,,
406,Honeysuckle,S,0,,
406,Privet,S,0,,
406,Spicebush,S,0,,
406,Rubus,S,0,,
406,Mapleleaf viburnum,S,1,,
909,Buckthorn,N,1,,
909,Multiflora rose,N,1,,
909,Honeysuckle,N,0,,
909,Privet,N,0,,
909,Spicebush,N,0,,
909,Rubus,N,1,,
909,Mapleleaf viburnum,N,0,,
909,Buckthorn,S,1,,
909,Multiflora rose,S,1,,
909,Honeysuckle,S,0,,
909,Privet,S,0,,
909,Spicebush,S,1,,
909,Rubus,S,1,,
909,Mapleleaf viburnum,S,0,,
410,Buckthorn,N,0,,
410,Multiflora rose,N,1,,
410,Honeysuckle,N,0,,
410,Privet,N,0,,
410,Spicebush,N,0,,
410,Rubus,N,0,,
410,Mapleleaf viburnum,N,1,,
410,Buckthorn,S,0,,
410,Multiflora rose,S,0,,
410,Honeysuckle,S,0,,
410,Privet,S,0,,
410,Spicebush,S,1,,
410,Rubus,S,0,,
410,Mapleleaf viburnum,S,0,,
25,Buckthorn,N,1,,
25,Multiflora rose,N,1,,
25,Honeysuckle,N,0,,
25,Privet,N,1,,
25,Spicebush,N,0,,
25,Rubus,N,1,,
25,Mapleleaf viburnum,N,0,,
25,Buckthorn,S,0,,
25,Multiflora rose,S,1,,
25,Honeysuckle,S,0,,
25,Privet,S,0,,
25,Spicebush,S,0,,
25,Rubus,S,1,,
25,Mapleleaf viburnum,S,0,,
269,Buckthorn,N,0,,
269,Multiflora rose,N,1,,
269,Honeysuckle,N,0,,
269,Privet,N,1,,
269,Spicebush,N,1,,
269,Rubus,N,0,,
269,Mapleleaf viburnum,N,1,,
269,Buckthorn,S,0,,
269,Multiflora rose,S,1,,
269,Honeysuckle,S,0,,
269,Privet,S,0,,
269,Spicebush,S,0,,
269,Rubus,S,0,,
269,Mapleleaf viburnum,S,0,,
910,Buckthorn,N,1,,
910,Multiflora rose,N,1,,
910,Honeysuckle,N,0,,
910,Privet,N,0,,
910,Spicebush,N,1,,
910,Rubus,N,1,,
910,Mapleleaf viburnum,N,0,,
910,Buckthorn,S,0,,
910,Multiflora rose,S,1,,
910,Honeysuckle,S,0,,
910,Privet,S,0,,
910,Spicebush,S,1,,
910,Rubus,S,1,,
910,Mapleleaf viburnum,S,0,,
267,Buckthorn,N,0,,
267,Multiflora rose,N,0,,
267,Honeysuckle,N,0,,
267,Privet,N,0,,
267,Spicebush,N,0,,
267,Rubus,N,0,,
267,Mapleleaf viburnum,N,0,,
267,Buckthorn,S,0,,
267,Multiflora rose,S,0,,
267,Honeysuckle,S,0,,
267,Privet,S,0,,
267,Spicebush,S,1,,
267,Rubus,S,0,,
267,Mapleleaf viburnum,S,0,,
411,Buckthorn,N,1,,
411,Multiflora rose,N,0,,
411,Honeysuckle,N,0,,
411,Privet,N,0,,
411,Spicebush,N,0,,
411,Rubus,N,0,,
411,Mapleleaf viburnum,N,0,,
411,Buckthorn,S,0,,
411,Multiflora rose,S,0,,
411,Honeysuckle,S,0,,
411,Privet,S,0,,
411,Spicebush,S,0,,
411,Rubus,S,0,,
411,Mapleleaf viburnum,S,0,,
49,Buckthorn,N,0,,
49,Multiflora rose,N,1,,
49,Honeysuckle,N,0,,
49,Privet,N,0,,
49,Spicebush,N,0,,
49,Rubus,N,1,,
49,Mapleleaf viburnum,N,0,,
49,Buckthorn,S,0,,
49,Multiflora rose,S,1,,
49,Honeysuckle,S,0,,
49,Privet,S,0,,
49,Spicebush,S,0,,
49,Rubus,S,0,,
49,Mapleleaf viburnum,S,0,,
377,Buckthorn,N,0,,
377,Multiflora rose,N,1,,
377,Honeysuckle,N,0,,
377,Privet,N,0,,
377,Spicebush,N,0,,
377,Rubus,N,1,,
377,Mapleleaf viburnum,N,1,,
377,Buckthorn,S,1,,
377,Multiflora rose,S,1,,
377,Honeysuckle,S,0,,
377,Privet,S,0,,
377,Spicebush,S,0,,
377,Rubus,S,1,,
377,Mapleleaf viburnum,S,0,,
981,Buckthorn,N,0,,
981,Multiflora rose,N,0,,
981,Honeysuckle,N,0,,
981,Privet,N,0,,
981,Spicebush,N,0,,
981,Rubus,N,1,,
981,Mapleleaf viburnum,N,0,,
981,Buckthorn,S,0,,
981,Multiflora rose,S,1,,
981,Honeysuckle,S,0,,
981,Privet,S,0,,
981,Spicebush,S,0,,
981,Rubus,S,0,,
981,Mapleleaf viburnum,S,0,,
906,Buckthorn,N,1,,
906,Multiflora rose,N,1,,
906,Honeysuckle,N,0,,
906,Privet,N,0,,
906,Spicebush,N,1,,
906,Rubus,N,1,,
906,Mapleleaf viburnum,N,0,,
906,Buckthorn,S,1,,
906,Multiflora rose,S,1,,
906,Honeysuckle,S,0,,
906,Privet,S,1,,
906,Spicebush,S,0,,
906,Rubus,S,0,,
906,Mapleleaf viburnum,S,0,,
264,Buckthorn,N,0,,
264,Multiflora rose,N,0,,
264,Honeysuckle,N,0,,
264,Privet,N,0,,
264,Spicebush,N,0,,
264,Rubus,N,0,,
264,Mapleleaf viburnum,N,0,,
264,Buckthorn,S,1,,
264,Multiflora rose,S,0,,
264,Honeysuckle,S,0,,
264,Privet,S,0,,
264,Spicebush,S,0,,
264,Rubus,S,0,,
264,Mapleleaf viburnum,S,0,,
908,Buckthorn,N,1,,
908,Multiflora rose,N,1,,
908,Honeysuckle,N,0,,
908,Privet,N,0,,
908,Spicebush,N,0,,
908,Rubus,N,0,,
908,Mapleleaf viburnum,N,0,,
908,Buckthorn,S,1,,
908,Multiflora rose,S,1,,
908,Honeysuckle,S,0,,
908,Privet,S,0,,
908,Spicebush,S,0,,
908,Rubus,S,0,,
908,Mapleleaf viburnum,S,0,,
412,Buckthorn,N,1,,
412,Multiflora rose,N,0,,
412,Honeysuckle,N,0,,
412,Privet,N,0,,
412,Spicebush,N,0,,
412,Rubus,N,0,,
412,Mapleleaf viburnum,N,0,,
412,Buckthorn,S,1,,
412,Multiflora rose,S,1,,
412,Honeysuckle,S,0,,
412,Privet,S,0,,
412,Spicebush,S,0,,
412,Rubus,S,0,,
412,Mapleleaf viburnum,S,0,,
903,Buckthorn,N,1,,
903,Multiflora rose,N,1,,
903,Honeysuckle,N,1,,
903,Privet,N,0,,
903,Spicebush,N,1,,
903,Rubus,N,1,,
903,Mapleleaf viburnum,N,0,,
903,Buckthorn,S,1,,
903,Multiflora rose,S,0,,
903,Honeysuckle,S,0,,
903,Privet,S,0,,
903,Spicebush,S,0,,
903,Rubus,S,1,,
903,Mapleleaf viburnum,S,0,,
904,Buckthorn,N,1,,
904,Multiflora rose,N,3,,
904,Honeysuckle,N,0,,
904,Privet,N,0,,
904,Spicebush,N,1,,
904,Rubus,N,1,,
904,Mapleleaf viburnum,N,0,,
904,Buckthorn,S,1,,
904,Multiflora rose,S,2,,
904,Honeysuckle,S,0,,
904,Privet,S,0,,
904,Spicebush,S,1,,
904,Rubus,S,1,,
904,Mapleleaf viburnum,S,0,,
263,Buckthorn,N,1,,
263,Multiflora rose,N,0,,
263,Honeysuckle,N,0,,
263,Privet,N,0,,
263,Spicebush,N,0,,
263,Rubus,N,0,,
263,Mapleleaf viburnum,N,0,,
263,Buckthorn,S,1,,
263,Multiflora rose,S,0,,
263,Honeysuckle,S,0,,
263,Privet,S,0,,
263,Spicebush,S,0,,
263,Rubus,S,0,,
263,Mapleleaf viburnum,S,0,,
265,Buckthorn,N,1,,
265,Multiflora rose,N,0,,
265,Honeysuckle,N,0,,
265,Privet,N,0,,
265,Spicebush,N,0,,
265,Rubus,N,0,,
265,Mapleleaf viburnum,N,0,,
265,Buckthorn,S,0,,
265,Multiflora rose,S,0,,
265,Honeysuckle,S,0,,
265,Privet,S,0,,
265,Spicebush,S,0,,
265,Rubus,S,0,,
265,Mapleleaf viburnum,S,0,,
324,Buckthorn,N,1,,
324,Multiflora rose,N,1,,
324,Honeysuckle,N,0,,
324,Privet,N,0,,
324,Spicebush,N,0,,
324,Rubus,N,0,,
324,Mapleleaf viburnum,N,0,,
324,Buckthorn,S,1,,
324,Multiflora rose,S,0,,
324,Honeysuckle,S,1,,
324,Privet,S,1,,
324,Spicebush,S,0,,
324,Rubus,S,0,,
324,Mapleleaf viburnum,S,0,,
323,Buckthorn,N,1,,
323,Multiflora rose,N,1,,
323,Honeysuckle,N,1,,
323,Privet,N,0,,
323,Spicebush,N,0,,
323,Rubus,N,0,,
323,Mapleleaf viburnum,N,0,,
323,Buckthorn,S,1,,
323,Multiflora rose,S,1,,
323,Honeysuckle,S,1,,
323,Privet,S,1,,
323,Spicebush,S,0,,
323,Rubus,S,0,,
323,Mapleleaf viburnum,S,0,,
262,Buckthorn,N,1,,
262,Multiflora rose,N,1,,
262,Honeysuckle,N,0,,
262,Privet,N,0,,
262,Spicebush,N,0,,
262,Rubus,N,0,,
262,Mapleleaf viburnum,N,0,,
262,Buckthorn,S,0,,
262,Multiflora rose,S,1,,
262,Honeysuckle,S,0,,
262,Privet,S,0,,
262,Spicebush,S,0,,
262,Rubus,S,0,,
262,Mapleleaf viburnum,S,0,,
179,Buckthorn,N,1,,
179,Multiflora rose,N,0,,
179,Honeysuckle,N,1,,
179,Privet,N,0,,
179,Spicebush,N,0,,
179,Rubus,N,0,,
179,Mapleleaf viburnum,N,0,,
179,Buckthorn,S,1,,
179,Multiflora rose,S,0,,
179,Honeysuckle,S,1,,
179,Privet,S,0,,
179,Spicebush,S,0,,
179,Rubus,S,0,,
179,Mapleleaf viburnum,S,0,,
404,Buckthorn,N,0,Was originally in datasheet as tree 40,
404,Multiflora rose,N,1,,
404,Honeysuckle,N,0,,
404,Privet,N,0,,
404,Spicebush,N,0,,
404,Rubus,N,0,,
404,Mapleleaf viburnum,N,0,,
404,Buckthorn,S,0,,
404,Multiflora rose,S,1,,
404,Honeysuckle,S,0,,
404,Privet,S,0,,
404,Spicebush,S,0,,
404,Rubus,S,0,,
404,Mapleleaf viburnum,S,0,,
321,Buckthorn,N,1,,
321,Multiflora rose,N,0,,
321,Honeysuckle,N,1,,
321,Privet,N,0,,
321,Spicebush,N,0,,
321,Rubus,N,0,,
321,Mapleleaf viburnum,N,0,,
321,Buckthorn,S,1,,
321,Multiflora rose,S,1,,
321,Honeysuckle,S,0,,
321,Privet,S,0,,
321,Spicebush,S,0,,
321,Rubus,S,0,,
321,Mapleleaf viburnum,S,0,,
385,Buckthorn,N,1,,
385,Multiflora rose,N,0,,
385,Honeysuckle,N,0,,
385,Privet,N,0,,
385,Spicebush,N,0,,
385,Rubus,N,0,,
385,Mapleleaf viburnum,N,1,,
385,Buckthorn,S,1,,
385,Multiflora rose,S,0,,
385,Honeysuckle,S,1,,
385,Privet,S,0,,
385,Spicebush,S,0,,
385,Rubus,S,1,,
385,Mapleleaf viburnum,S,1,,
369,Buckthorn,N,1,,
369,Multiflora rose,N,0,,
369,Honeysuckle,N,0,,
369,Privet,N,0,,
369,Spicebush,N,0,,
369,Rubus,N,0,,
369,Mapleleaf viburnum,N,0,,
369,Buckthorn,S,0,,
369,Multiflora rose,S,0,,
369,Honeysuckle,S,0,,
369,Privet,S,0,,
369,Spicebush,S,0,,
369,Rubus,S,0,,
369,Mapleleaf viburnum,S,0,,
180,Buckthorn,N,1,,
180,Multiflora rose,N,1,,
180,Honeysuckle,N,0,,
180,Privet,N,0,,
180,Spicebush,N,0,,
180,Rubus,N,0,,
180,Mapleleaf viburnum,N,0,,
180,Buckthorn,S,1,,
180,Multiflora rose,S,0,,
180,Honeysuckle,S,0,,
180,Privet,S,0,,
180,Spicebush,S,0,,
180,Rubus,S,1,,
180,Mapleleaf viburnum,S,0,,
886,Buckthorn,N,0,,
886,Multiflora rose,N,0,,
886,Honeysuckle,N,0,,
886,Privet,N,0,,
886,Spicebush,N,0,,
886,Rubus,N,0,,
886,Mapleleaf viburnum,N,1,,
886,Buckthorn,S,0,,
886,Multiflora rose,S,0,,
886,Honeysuckle,S,0,,
886,Privet,S,0,,
886,Spicebush,S,0,,
886,Rubus,S,0,,
886,Mapleleaf viburnum,S,0,,
74,Buckthorn,N,1,,
74,Multiflora rose,N,2,,
74,Honeysuckle,N,0,,
74,Privet,N,1,,
74,Spicebush,N,1,,
74,Rubus,N,1,,
74,Mapleleaf viburnum,N,0,,
74,Buckthorn,S,1,,
74,Multiflora rose,S,2,,
74,Honeysuckle,S,0,,
74,Privet,S,1,,
74,Spicebush,S,1,,
74,Rubus,S,1,,
74,Mapleleaf viburnum,S,1,,
59,Buckthorn,N,1,,
59,Multiflora rose,N,1,,
59,Honeysuckle,N,1,,
59,Privet,N,0,,
59,Spicebush,N,0,,
59,Rubus,N,1,,
59,Mapleleaf viburnum,N,1,,
59,Buckthorn,S,1,,
59,Multiflora rose,S,1,,
59,Honeysuckle,S,1,,
59,Privet,S,0,,
59,Rubus,S,1,,
59,Spicebush,S,0,,
59,Mapleleaf viburnum,S,0,,
368,Buckthorn,N,1,,
368,Multiflora rose,N,0,,
368,Honeysuckle,N,0,,
368,Privet,N,1,,
368,Spicebush,N,0,,
368,Rubus,N,0,,
368,Mapleleaf viburnum,N,0,,
368,Buckthorn,S,1,,
368,Multiflora rose,S,0,,
368,Honeysuckle,S,0,,
368,Privet,S,0,,
368,Spicebush,S,0,,
368,Rubus,S,0,,
368,Mapleleaf viburnum,S,0,,
895,Buckthorn,N,1,,
895,Multiflora rose,N,1,,
895,Honeysuckle,N,0,,
895,Privet,N,0,,
895,Spicebush,N,1,,
895,Rubus,N,1,,
895,Mapleleaf viburnum,N,0,,
895,Buckthorn,S,1,,
895,Multiflora rose,S,1,,
895,Honeysuckle,S,0,,
895,Privet,S,0,,
895,Spicebush,S,1,,
895,Rubus,S,1,,
895,Mapleleaf viburnum,S,0,,
64,Buckthorn,N,1,,
64,Multiflora rose,N,2,,
64,Honeysuckle,N,0,,
64,Privet,N,0,,
64,Spicebush,N,0,,
64,Rubus,N,0,,
64,Mapleleaf viburnum,N,0,,
64,Buckthorn,S,1,,
64,Multiflora rose,S,1,,
64,Honeysuckle,S,0,,
64,Privet,S,1,,
64,Spicebush,S,1,,
64,Rubus,S,0,,
64,Mapleleaf viburnum,S,0,,
70,Buckthorn,N,1,,
70,Multiflora rose,N,2,,
70,Honeysuckle,N,0,,
70,Privet,N,0,,
70,Spicebush,N,0,,
70,Rubus,N,1,,
70,Mapleleaf viburnum,N,0,,
70,Buckthorn,S,1,,
70,Multiflora rose,S,1,,
70,Honeysuckle,S,0,,
70,Privet,S,0,,
70,Spicebush,S,0,,
70,Rubus,S,1,,
70,Mapleleaf viburnum,S,0,,
397,Buckthorn,N,1,,
397,Multiflora rose,N,0,,
397,Honeysuckle,N,0,,
397,Privet,N,0,,
397,Spicebush,N,0,,
397,Rubus,N,1,,
397,Mapleleaf viburnum,N,1,,
397,Buckthorn,S,1,,
397,Multiflora rose,S,0,,
397,Honeysuckle,S,0,,
397,Privet,S,0,,
397,Spicebush,S,0,,
397,Rubus,S,0,,
397,Mapleleaf viburnum,S,0,,
71,Buckthorn,N,1,,
71,Multiflora rose,N,1,,
71,Honeysuckle,N,0,,
71,Privet,N,0,,
71,Spicebush,N,0,,
71,Rubus,N,1,,
71,Mapleleaf viburnum,N,0,,
71,Buckthorn,S,1,,
71,Multiflora rose,S,1,,
71,Honeysuckle,S,0,,
71,Privet,S,1,,
71,Spicebush,S,0,,
71,Rubus,S,0,,
71,Mapleleaf viburnum,S,0,,
890,Buckthorn,N,1,,
890,Multiflora rose,N,1,,
890,Honeysuckle,N,0,,
890,Privet,N,0,,
890,Spicebush,N,0,,
890,Rubus,N,0,,
890,Mapleleaf viburnum,N,0,,
890,Buckthorn,S,1,,
890,Multiflora rose,S,0,,
890,Honeysuckle,S,0,,
890,Privet,S,0,,
890,Spicebush,S,0,,
890,Rubus,S,0,,
890,Mapleleaf viburnum,S,0,,
45,Buckthorn,N,0,,
45,Multiflora rose,N,2,,
45,Honeysuckle,N,0,,
45,Privet,N,0,,
45,Spicebush,N,1,,
45,Rubus,N,1,,
45,Mapleleaf viburnum,N,0,,
45,Buckthorn,S,1,,
45,Multiflora rose,S,3,,
45,Honeysuckle,S,0,,
45,Privet,S,0,,
45,Spicebush,S,1,,
45,Rubus,S,1,,
45,Mapleleaf viburnum,S,0,,
367,Buckthorn,N,1,,
367,Multiflora rose,N,0,,
367,Honeysuckle,N,0,,
367,Privet,N,0,,
367,Spicebush,N,0,,
367,Rubus,N,0,,
367,Mapleleaf viburnum,N,0,,
367,Buckthorn,S,1,,
367,Multiflora rose,S,0,,
367,Honeysuckle,S,0,,
367,Privet,S,0,,
367,Spicebush,S,0,,
367,Rubus,S,0,,
367,Mapleleaf viburnum,S,0,,
57,Buckthorn,N,1,,
57,Multiflora rose,N,1,,
57,Honeysuckle,N,1,,
57,Privet,N,0,,
57,Spicebush,N,0,,
57,Rubus,N,1,,
57,Mapleleaf viburnum,N,0,,
57,Buckthorn,S,1,,
57,Multiflora rose,S,2,,
57,Honeysuckle,S,1,,
57,Privet,S,0,,
57,Spicebush,S,1,,
57,Rubus,S,0,,
57,Mapleleaf viburnum,S,1,,
190,Buckthorn,N,1,,
190,Multiflora rose,N,0,,
190,Honeysuckle,N,0,,
190,Privet,N,0,,
190,Spicebush,N,0,,
190,Rubus,N,1,,
190,Mapleleaf viburnum,N,0,,
190,Buckthorn,S,0,,
190,Multiflora rose,S,0,,
190,Honeysuckle,S,0,,
190,Privet,S,0,,
190,Spicebush,S,0,,
190,Rubus,S,0,,
190,Mapleleaf viburnum,S,1,,
58,Buckthorn,N,2,,
58,Multiflora rose,N,1,,
58,Honeysuckle,N,0,,
58,Privet,N,1,,
58,Spicebush,N,0,,
58,Rubus,N,1,,
58,Mapleleaf viburnum,N,0,,
58,Buckthorn,S,1,,
58,Multiflora rose,S,1,,
58,Honeysuckle,S,1,,
58,Privet,S,0,,
58,Spicebush,S,1,,
58,Rubus,S,1,,
58,Mapleleaf viburnum,S,0,,
366,Buckthorn,N,1,,
366,Multiflora rose,N,0,,
366,Honeysuckle,N,0,,
366,Privet,N,0,,
366,Spicebush,N,0,,
366,Rubus,N,1,,
366,Mapleleaf viburnum,N,1,,
366,Buckthorn,S,0,,
366,Multiflora rose,S,0,,
366,Honeysuckle,S,0,,
366,Privet,S,0,,
366,Spicebush,S,0,,
366,Rubus,S,1,,
366,Mapleleaf viburnum,S,0,,
56,Buckthorn,N,1,,
56,Multiflora rose,N,3,,
56,Honeysuckle,N,0,,
56,Privet,N,0,,
