,Tree,Species,Plot_ID,Treatment,Treatment_2019,TreatmentYear,Block,Size,Notes,Valid,DBH2018,DBH2019,SmallTreeDBH2018,SmallTreeHeight2018,Smalltree2018measurementnotes,BandPresent2018,BandPresent2019,HerbSurveys2018,HerbSurveys2019,EphemeralSurveys2019,SeedlingPlots2018,SeedlingPlots2019,FourmSurveys2018,TenmSurveys2018,VisualCover2018,VisualCover2019,Greaterthan20_2019,MeanPercentopenness2018,MeanPercentopenness2019,PhotoObstruction,HemiDifference,meanVWC2019,meanVWC2019_corrected,meanPER2019,VWC_ref,PER_ref
11,108,tulip poplar,IC-19-M,IC,Control,2019,Middle,Large,,Yes,14.1,14.5,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,29.2975,36.385,No,7.0875,25.825,26.8345778,1.519,30.725,1.5965
12,109,red maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,18.5,18.8,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,NA,42.935,Yes,NA,22.625,23.50948006,1.47,30.725,1.5965
13,11,red maple,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,Large,,Yes,26.6,27,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,NA,37.915,Yes,NA,25.85,25.85,1.519,31.975,1.61625
14,110,red maple,IC-18-M,IC,IC,2018,Middle,Large,,Yes,16.5,16.9,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,32.9275,Yes,NA,26.1,27.12032838,1.527,30.725,1.5965
15,111,red maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,9.5,9.6,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,22.065,28.3925,Yes,6.3275,18.1,18.46794371,1.40125,31.325,1.60625
16,112,red maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,16.6,16.9,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,32.785,No,NA,21.325,21.75850274,1.45025,31.325,1.60625
17,113,red maple,IC-18-M,IC,IC,2018,Middle,Large,,Yes,19.9,20.1,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,27.41,Yes,NA,23.775,24.70443706,1.48775,30.725,1.5965
18,114,red maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,24.2,24.7,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,29.365,No,NA,17.15,17.49863174,1.386,31.325,1.60625
19,115,sugar maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,14.1,14.5,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,25.6,No,NA,10.85,11.07056294,1.288,31.325,1.60625
20,116,sugar maple,IC-18-M,IC,IC,2018,Middle,Large,,Yes,16.4,16.5,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,28.2175,Yes,NA,20.475,21.27543002,1.437,30.725,1.5965
21,117,red maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,13.4,13.5,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,34.195,No,NA,24.95,25.92537138,1.50525,30.725,1.5965
22,118,red maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,10.6,10.9,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,33.6425,25.72,Yes,-7.9225,25.9,25.9,1.51975,31.975,1.61625
23,119,sugar maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,8.8,8.9,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,24.5725,No,NA,16.65,16.98846755,1.379,31.325,1.60625
24,12,tulip poplar,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,Large,,Yes,46.6,47.3,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,38.2575,No,NA,26.475,26.475,1.53125,31.975,1.61625
25,120,sugar maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,10.2,10.3,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,36.0675,34.1925,No,-1.875,18.975,19.36073104,1.414,31.325,1.60625
26,121,sugar maple,IC-18-M,IC,IC,2018,Middle,Large,,Yes,11.5,11.5,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,26.48,No,NA,14.7,14.7,1.3485,31.975,1.61625
27,122,sugar maple,IC-18-M,IC,IC,2018,Middle,Large,,Yes,14.7,14.9,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,30.60333333,No,NA,34.275,34.275,1.6615,31.975,1.61625
28,123,sugar maple,IC-18-M,IC,IC,2018,Middle,Large,,Yes,12.4,12.5,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,32.665,28.07,No,-4.595,13.425,13.425,1.33,31.975,1.61625
29,124,sugar maple,IC-18-M,IC,IC,2018,Middle,Large,,Yes,9.7,9.6,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,32.7375,Yes,NA,17.725,17.725,1.39525,31.975,1.61625
30,125,tulip poplar,IC-19-M,IC,Control,2019,Middle,Large,,Yes,28.7,29.1,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,28.275,Yes,NA,17.625,17.98328772,1.393,31.325,1.60625
31,126,sugar maple,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,9.8,9.9,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,34.8925,38.055,Yes,3.1625,20.625,22.56010555,1.43975,28.975,1.57225
32,127,sugar maple,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,7.8,7.8,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,44.0025,42.0425,Yes,-1.96,22.95,25.10324473,1.47475,28.975,1.57225
33,128,tulip poplar,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,45.8,46.3,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,33.0175,Yes,NA,24.1,26.36114152,1.49425,28.975,1.57225
34,129,sugar maple,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,8.6,8.6,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,38.0275,Yes,NA,26.45,28.93162627,1.53075,28.975,1.57225
35,13,tulip poplar,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,29.6,30.1,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,27.605,39.0625,Yes,11.4575,18.35,20.07165755,1.40525,28.975,1.57225
36,130,red maple,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,17.9,18.1,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,35.9575,Yes,NA,21.55,23.57189211,1.453,28.975,1.57225
37,131,tulip poplar,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,28.3,28.3,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,40.37,36.8,Yes,-3.57,21.35,23.35312745,1.4505,28.975,1.57225
38,132,red maple,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,23.5,24.1,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,33.6925,Yes,NA,21.125,23.1070172,1.4475,28.975,1.57225
39,133,tulip poplar,IC-19-M,IC,Control,2019,Middle,Large,,Yes,29.2,29.7,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,36.6175,Yes,NA,24.825,25.79548475,1.5045,30.725,1.5965
40,134,sugar maple,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,Large,,Yes,8.9,8.9,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,38.0925,No,NA,26.375,26.375,1.5275,31.975,1.61625
41,135,red maple,IC-19-M,IC,Control,2019,Middle,Large,,Yes,9.3,9.4,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,27.9475,No,NA,7.275,7.968940579,1.228,28.925,1.5675
42,136,red maple,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,Large,,Yes,14.2,14.2,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,34.8875,Yes,NA,21.25,21.25,1.449,31.975,1.61625
43,137,tulip poplar,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,Large,,Yes,38.5,39.2,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,35.83,Yes,NA,20.25,20.25,1.43375,31.975,1.61625
44,138,tulip poplar,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,33.6,34,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,33.1575,Yes,NA,21.4,23.40781861,1.45075,28.975,1.57225
45,139,red maple,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,Large,,Yes,28.1,28.3,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,31.4675,36.5025,Yes,5.035,17.8,19.47005473,1.39675,28.975,1.57225
46,14,red maple,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,20.3,21.2,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,32.1775,36.035,Yes,3.8575,17.325,18.95048866,1.38925,28.975,1.57225
47,140,sugar maple,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,Large,,Yes,7.7,7.7,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,34.0975,Yes,NA,18.875,20.64591478,1.41275,28.975,1.57225
48,141,tulip poplar,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,Large,,Yes,40.2,40.9,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,28.665,32.82,No,4.155,20.975,20.975,1.44475,31.975,1.61625
49,142,sugar maple,,NA,NA,NA,NA,Large,Not in plot,No,21.7,22.1,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,31.805,Yes,NA,NA,NA,NA,24.95,1.5055
50,143,tulip poplar,IC-19-M,IC,Control,2019,Middle,Large,,Yes,42.1,42.7,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,36.4575,Yes,NA,19.5,20.26231431,1.42225,30.725,1.5965
51,145,sugar maple,IC-19-S,IC,Control,2019,South,Large,,Yes,13.8,13.9,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,30.2675,36.9425,No,6.675,9.775,13.35177873,1.27075,20.275,1.4355
52,146,sugar maple,IC-19-S,IC,Control,2019,South,Large,,Yes,8.65,8.8,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,33.175,Yes,NA,21.9,23.95473026,1.45875,28.975,1.57225
53,147,red maple,IC-19-S,IC,Control,2019,South,Large,,Yes,20.7,22.4,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,35.8825,33.015,Yes,-2.8675,16.85,23.01559812,1.3805,20.275,1.4355
54,148,tulip poplar,IC-19-S,IC,Control,2019,South,Large,,Yes,23.5,25.2,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,29.5075,33.585,Yes,4.0775,21.275,29.05975371,1.45425,20.275,1.4355
55,149,red maple,IC-19-S,IC,Control,2019,South,Large,,Yes,15.8,16.4,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,34.4025,Yes,NA,12.775,17.44951134,1.31975,20.275,1.4355
56,15,sugar maple,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,15.1,15.4,NA,NA,NA,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,NA,30.98,Yes,NA,17.525,19.16925332,1.39225,28.975,1.57225
57,150,sugar maple,IC-19-S,IC,Control,2019,South,Large,,Yes,20.33,20.9,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,26.845,23.095,No,-3.75,8.3,11.3370602,1.24575,20.275,1.4355
58,151,tulip poplar,IC-18-S,IC,IC,2018,South,Large,,Yes,NA,14.1,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,27.0725,Yes,NA,26.425,28.78031666,1.5305,29.125,1.572
59,152,red maple,IC-19-S,IC,Control,2019,South,Large,,Yes,36.28,36.9,NA,NA,NA,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,NA,32.8175,Yes,NA,16.575,22.63997264,1.37825,20.275,1.4355
60,153,tulip poplar,IC-19-S,IC,Control,2019,South,Large,,Yes,25.3,25.7,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,24.66,28.56,Yes,3.9,13.925,19.02030884,1.33725,20.275,1.4355
61,154,sugar maple,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,small,,Yes,NA,NA,7.5,10.63,,NA,NA,No,No,No,No,No,No,No,Yes,Yes,No,NA,40.49,Yes,NA,26.275,26.275,1.52575,31.975,1.61625
62,155,elm,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,small,,Yes,NA,NA,8,10.37,,NA,NA,No,No,No,No,No,No,No,Yes,Yes,No,NA,39.85,Yes,NA,28.275,28.275,1.557,31.975,1.61625
63,156,sugar maple,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,small,,Yes,NA,NA,6.4,8.61,,NA,NA,No,No,No,No,No,No,No,Yes,Yes,No,NA,38.78,Yes,NA,29.075,29.075,1.56925,31.975,1.61625
64,157,elm,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,small,,Yes,NA,NA,5.3,6.8,,NA,NA,No,No,No,No,No,No,No,Yes,Yes,No,NA,38.1825,Yes,NA,26.85,26.85,1.53975,31.975,1.61625
65,158,sugar maple,IC+TSI-19-S,IC+TSI,Control,2019,South,small,,Yes,NA,NA,4.5,5.41,,NA,NA,No,No,No,No,No,No,No,Yes,Yes,No,NA,33.3525,No,NA,25.3,27.67372948,1.51375,28.975,1.57225
66,159,elm,IC+TSI-19-S,IC+TSI,Control,2019,South,small,,Yes,NA,NA,5.9,6.32,,NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,NA,37.32,No,NA,19.025,20.80998827,1.41525,28.975,1.57225
67,16,tulip poplar,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,30.45,31.2,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,24.9075,Yes,NA,19.85,21.71239249,1.4285,28.975,1.57225
68,160,red maple,IC+TSI-19-S,IC+TSI,Control,2019,South,small,,Yes,NA,NA,6.6,8.46,,NA,NA,No,No,No,No,No,No,No,Yes,Yes,No,NA,27.3875,No,NA,17.525,19.16925332,1.3925,28.975,1.57225
69,161,sugar maple,IC+TSI-19-S,IC+TSI,Control,2019,South,small,,Yes,NA,NA,4.9,7.7,,NA,NA,No,No,No,No,No,No,No,Yes,Yes,No,NA,32.9925,No,NA,16.075,17.58320954,1.37125,28.975,1.57225
70,162,sugar maple,IC+TSI-19-S,IC+TSI,Control,2019,South,small,,Yes,NA,NA,5.8,8.48,,NA,NA,No,No,No,No,No,No,No,Yes,Yes,No,NA,27.0075,No,NA,17.275,18.8957975,1.3885,28.975,1.57225
71,163,elm,IC+TSI-19-S,IC+TSI,Control,2019,South,small,,Yes,NA,NA,8,11.62,,NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,NA,28.02666667,No,NA,15.25,16.68080532,1.358,28.975,1.57225
72,164,sugar maple,IC+TSI-19-S,IC+TSI,Control,2019,South,small,,Yes,NA,NA,5,6.67,,NA,NA,No,No,No,No,No,No,No,Yes,Yes,No,NA,35.845,Yes,NA,20.675,22.61479672,1.44,28.975,1.57225
73,165,tulip poplar,IC-19-M,IC,Control,2019,Middle,Large,,Yes,49.1,49.5,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,27.2775,Yes,NA,22.075,22.52374902,1.46125,31.325,1.60625
74,166,tulip poplar,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,Large,,Yes,44.7,45.1,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,28.995,Yes,NA,25.15,25.15,1.508,31.975,1.61625
75,167,red maple,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,8.7,8.6,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,37.8975,No,NA,17.4,19.03252541,1.391,28.975,1.57225
76,17,red maple,IC+TSI-18-S,IC+TSI,IC+TSI,2018,South,Large,,Yes,17.9,18.1,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,42.19,Yes,NA,29.9,29.9,1.58275,31.975,1.61625
77,172,red maple,C-18-S,Control,Control,2018,South,Large,,Yes,25,25.6,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,NA,34.9575,Yes,NA,21.925,21.925,1.4595,31.975,1.61625
78,173,tulip poplar,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,38.2,39,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,35.785,No,NA,14.85,16.243276,1.352,28.975,1.57225
79,174,tulip poplar,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,28.2,28.5,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,33.845,Yes,NA,20,21.87646599,1.4305,28.975,1.57225
80,175,red maple,C-19-S,Control,Control,2019,South,Large,,Yes,30.4,30.9,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,24.175,28.88,Yes,4.705,26.05,26.57955434,1.5615,31.325,1.60625
81,176,tulip poplar,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,43.2,43.2,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,34.7975,Yes,NA,19.475,21.30220876,1.422,28.975,1.57225
82,177,sugar maple,C-18-S,Control,Control,2018,South,Large,,Yes,20.1,20.1,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,26.865,28.215,Yes,1.35,24.2,24.2,1.4955,31.975,1.61625
83,178,sugar maple,IC+TSI-19-M,IC+TSI,Control,2019,Middle,Large,,Yes,24.3,22.3,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,NA,44.4025,Yes,NA,20.125,20.53410868,1.43175,31.325,1.60625
84,179,red maple,C-19-S,Control,Control,2019,South,Large,,Yes,13.3,13.3,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,29.65,35.598,No,5.948,24.775,25.27863566,1.50275,31.325,1.60625
85,18,red maple,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,29.1,28.6,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,33.1,Yes,NA,18.4,20.12634871,1.40575,28.975,1.57225
86,180,sugar maple,C-19-S,Control,Control,2019,South,Large,,Yes,35.9,36.1,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,34.84666667,30.60333333,No,-4.24333334,31.35,31.98729476,1.62625,31.325,1.60625
87,181,red maple,C-18-S,Control,Control,2018,South,Large,,Yes,16.6,16.7,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,36.8975,No,NA,29,29,1.56875,31.975,1.61625
88,182,tulip poplar,C-18-S,Control,Control,2018,South,Large,,Yes,43,44.1,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,31.8925,37.3825,No,5.49,25.4,25.4,1.51275,31.975,1.61625
89,183,sugar maple,C-19-S,Control,Control,2019,South,Large,,Yes,18.5,18.3,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,34.23,35.10333333,No,0.87333333,16.375,16.70787725,1.3745,31.325,1.60625
90,184,tulip poplar,C-19-S,Control,Control,2019,South,Large,,Yes,28.45,29.1,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,35.9475,37.41,No,1.4625,22.775,23.23797889,1.472,31.325,1.60625
91,185,sugar maple,IC+TSI-18-M,IC+TSI,IC+TSI,2018,Middle,Large,,Yes,17.5,17.5,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,24.22,38.49,No,14.27,13.075,15.65115324,1.32325,25.675,1.51725
92,186,tulip poplar,C-18-S,Control,Control,2018,South,Large,,Yes,28.9,29.3,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,34.9775,32.675,Yes,-2.3025,22.425,24.42378812,1.46675,29.125,1.572
93,187,tulip poplar,C-19-N,Control,Control,2019,North,Large,,Yes,23.1,23.4,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,22.39,26.2,Yes,3.81,19.675,23.55154418,1.42575,25.675,1.51725
94,188,red maple,IC+TSI-18-N,IC+TSI,IC+TSI,2018,North,Large,,Yes,11.8,11.9,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,20.5425,33.37,Yes,12.8275,12.2,13.87881157,1.30875,27.575,1.546
95,189,tulip poplar,IC+TSI-19-N,IC+TSI,Control,2019,North,Large,,Yes,21.3,21.3,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,22.2625,28.9875,No,6.725,19.3,23.54026583,1.41875,24.95,1.5055
96,19,red maple,IC+TSI-19-S,IC+TSI,Control,2019,South,Large,,Yes,19.7,20.1,NA,NA,NA,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,28.185,31.2325,No,3.0475,18.4,20.12634871,1.40625,28.975,1.57225
97,190,red maple,IC+TSI-18-N,IC+TSI,IC+TSI,2018,North,Large,,Yes,22.6,22.7,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,23.665,30.465,No,6.8,13.15,14.9595387,1.32325,27.575,1.546
98,191,tulip poplar,IC+TSI-18-N,IC+TSI,IC+TSI,2018,North,Large,,Yes,35.5,35.9,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,20.15,32.87,Yes,12.72,14.15,16.09714621,1.34025,27.575,1.546
99,192,red maple,IC+TSI-18-M,IC+TSI,IC+TSI,2018,Middle,Large,,Yes,18.4,19.2,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,25.34,37.68,No,12.34,17.05,19.39620798,1.38475,27.575,1.546
100,193,sugar maple,C-18-S,Control,Control,2018,South,Large,,Yes,16.65,16.7,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,36.2875,Yes,NA,23.9,23.9,1.48975,31.975,1.61625
101,194,sugar maple,C-18-S,Control,Control,2018,South,Large,,Yes,9.8,10,NA,NA,NA,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,33.46,Yes,NA,25.025,25.025,1.5065,31.975,1.61625
